In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding contact with other people 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.5,10,36.3,49.2,0.8,22393
"AK",3.8,16.6,33.4,46.2,10.8,167
"AL",4.4,9.6,38,48,6.1,410
"AR",5.6,9.8,41.4,43.3,6.9,382
"AZ",3.5,11.2,35.1,50.2,5.3,595
"CA",4.1,5.1,31.8,59,4.2,844
"CO",10,12,33.3,44.7,5.8,480
"CT",3.1,9.9,39.8,47.3,6,418
"DC",0.4,7.1,30.3,62.2,6.4,302
"DE",1.2,8.8,36.4,53.6,6.4,354
"FL",3.7,8,35.2,53,4.4,840
"GA",4.7,10.8,38.9,45.5,5.5,498
"HI",2.7,12.4,41.6,43.2,6.2,450
"IA",4.6,12.6,39.1,43.7,6.2,414
"ID",8.5,19.7,36,35.8,6.1,356
"IL",5,7.9,36,51.2,4.9,552
"IN",4.2,11.2,43.3,41.3,5.8,487
"KS",3.3,13.9,41.6,41.3,6.4,376
"KY",4.5,12.7,37.2,45.6,6,443
"LA",3.3,10,33.9,52.8,6.8,397
"MA",1.6,8.8,40.8,48.9,5.3,466
"MD",1.6,4.4,34.3,59.7,5.3,456
"ME",4.2,10,40.4,45.5,6.1,376
"MI",3.1,9,37.6,50.2,5.4,463
"MN",7.5,12.8,38.9,40.8,5.1,491
"MO",5.1,10.8,41.8,42.3,5.4,483
"MS",3,8.9,42.1,46,7,341
"MT",8.5,18.2,46.1,27.2,6.9,297
"NC",6.7,10.3,34.2,48.8,5.1,539
"ND",11.9,17.8,43.8,26.4,9.2,189
"NE",7,16.1,40.6,36.2,6.2,379
"NH",5.7,11.2,35.5,47.5,5.8,370
"NJ",2.6,6.2,30.5,60.7,5,497
"NM",6.4,9.4,41.1,43.1,8.6,308
"NV",3.8,9.2,37.4,49.6,6.3,391
"NY",2.9,9,27.1,61,4.4,654
"OH",4.6,10.8,37.6,47.1,4.6,577
"OK",7.3,10.2,41.5,41,7.2,362
"OR",5.5,10.1,37.5,47,5.8,445
"PA",6,8.5,34,51.6,4.5,601
"RI",6,10.5,33,50.6,6.6,306
"SC",6.1,9.9,32.5,51.6,5.6,465
"SD",7.7,14.2,52.8,25.3,7.2,298
"TN",3.2,13.1,40.5,43.2,5.6,477
"TX",5.1,9.4,35,50.6,4.3,873
"UT",3.1,11,48.2,37.6,6.8,346
"VA",4,7.2,34.2,54.6,4.9,569
"VT",5.2,9.9,38.3,46.5,7.6,227
"WA",3.6,6.9,41,48.5,5.7,430
"WI",6.5,11.8,37,44.7,5.3,469
"WV",2.4,10,39.5,48,6.8,336
"WY",8.9,17.1,36.5,37.5,9.5,147
