How concerned, if at all, do you currently feel about the following: - Getting coronavirus yourself 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",13.5,20.1,33.8,30.2,2.3,0.8,22410
"AK",21.6,25.2,29.5,22.5,1.1,9.9,166
"AL",15.8,20.2,32.7,29.5,1.8,5.7,409
"AR",15.2,22.5,31.2,29,2,6.5,382
"AZ",12.6,22.5,30.3,34,0.6,5,597
"CA",9.9,17.4,32.8,37.8,2,4.1,840
"CO",19.7,20.6,35.6,22.2,1.9,5.6,479
"CT",12.8,19.8,36.5,29.2,1.7,5.8,417
"DC",6,14.2,29.1,48.2,2.6,6.6,303
"DE",12,15.7,34.1,36.5,1.8,6.2,354
"FL",13.4,16.2,30.9,36.6,2.9,4.2,843
"GA",14.8,20.1,29.7,33.3,2.1,5.2,498
"HI",8.1,19.5,33.9,36.6,2,6,451
"IA",13.7,19.4,32.6,30.8,3.6,5.8,413
"ID",23.5,21.2,32.1,20,3.2,6,355
"IL",12.8,19.2,35.8,29.7,2.5,4.7,553
"IN",14.1,20.1,35.3,28.4,2.2,5.6,489
"KS",14.1,23.8,35.1,22.2,4.9,6.2,375
"KY",12.2,23.6,35.4,26.5,2.2,5.7,444
"LA",12.5,16,31.9,35.5,4.2,6.5,398
"MA",10.1,21.7,39.3,26.7,2.2,5.2,470
"MD",8.7,19.6,37.3,33.3,1.1,5.2,457
"ME",14.9,23.3,37.2,23.2,1.4,6,373
"MI",14.2,21.1,34.5,26.7,3.5,5.1,464
"MN",16.5,23.5,37.8,20.4,1.8,5,492
"MO",16.2,20.8,35.9,22.4,4.7,5.3,482
"MS",15.9,17.2,29,37.7,0.2,6.8,341
"MT",25.9,30.5,27.3,15.9,0.4,6.4,297
"NC",15.5,19.1,36.3,25.7,3.5,4.9,540
"ND",18.2,36,34.3,10,1.5,8.9,190
"NE",18.5,21.2,39.6,19.6,1,6.1,382
"NH",15.4,21.9,34.3,25.1,3.2,5.5,369
"NJ",6.8,15,40.7,35.8,1.8,5,500
"NM",13.3,21.9,39.7,22.7,2.5,8.5,307
"NV",15.3,18.1,30.8,34.5,1.2,6,391
"NY",10.2,17.8,28.8,40.7,2.5,4.4,655
"OH",13.6,21.3,33.5,28.6,3,4.3,578
"OK",18.9,14.5,29.1,33.5,3.9,6.9,360
"OR",17.5,27.7,31.5,21.7,1.6,5.4,448
"PA",14.3,19.2,37,27.6,1.9,4.3,601
"RI",10.7,25.8,38.1,23.2,2.2,6.4,308
"SC",13.4,17.5,32.4,34.4,2.3,5.4,465
"SD",16.7,26.2,37.6,18,1.5,7,298
"TN",17.6,21.3,31.9,26.1,3.2,5.2,479
"TX",12.5,19.8,29.2,36,2.5,4.1,874
"UT",13.7,30.2,36.7,19,0.4,6.5,346
"VA",9.8,19.5,36.6,31.4,2.6,4.7,568
"VT",15.1,29.2,29.5,24.9,1.3,6.9,228
"WA",13.8,17.6,39.6,26.2,2.7,5.6,432
"WI",14.4,25.4,36,22.7,1.4,5.1,468
"WV",13.9,23.9,39,22,1.3,6.7,334
"WY",24.8,24.2,34.8,14.3,1.8,9.3,147
