How concerned, if at all, do you currently feel about the following: - Being able to receive health care 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",22,24.1,27.6,21.4,5,0.8,22323
"AK",27.6,23.8,23.2,19.9,5.5,9.7,164
"AL",21,23.2,23.9,28.5,3.5,5.5,409
"AR",20.1,26.4,23.6,24.2,5.7,6.2,380
"AZ",21.8,19.2,26.8,27.5,4.7,4.8,594
"CA",16.7,24.2,31.8,23.5,3.8,3.9,842
"CO",25.1,26.7,26.6,16.4,5.3,5.1,479
"CT",22.2,23.1,31.8,18.1,4.8,5.6,416
"DC",12.9,19.8,29.4,31.1,6.8,6.2,295
"DE",17,25.1,30.3,21.5,6.1,5.9,352
"FL",21.5,23.9,27.2,22.1,5.2,3.9,840
"GA",25.8,21.6,23.8,20.6,8.3,4.9,497
"HI",23,23.2,29.1,19.5,5.2,5.7,450
"IA",25.6,22,29.9,18.2,4.4,5.7,408
"ID",28.2,22.9,29.8,13.6,5.5,5.9,353
"IL",24.2,21.7,30.7,19,4.4,4.5,549
"IN",24.4,23.5,28.3,17.9,5.8,5.2,489
"KS",28.1,24.5,24,17.7,5.6,5.9,374
"KY",19.3,25.2,25.8,21.6,8.1,5.3,442
"LA",23.4,19.6,25.4,27.1,4.3,6.1,394
"MA",20.4,25.6,27.4,22.4,4.2,4.7,467
"MD",22.3,24.1,28.3,22.5,2.8,4.9,454
"ME",19.7,27.9,28.3,18.2,5.9,5.6,375
"MI",23,24.5,26.4,20.5,5.6,4.7,465
"MN",25.5,29.1,28.5,12.6,4.3,4.7,488
"MO",23.8,28,24.8,18.4,5.1,5,479
"MS",18.9,17.3,26.9,30.9,6,6.4,341
"MT",31.7,22.6,23.6,19.2,3,6.5,295
"NC",25,24.5,28,16.8,5.7,4.6,539
"ND",31.7,28.1,19.5,11.7,9,8.7,187
"NE",25.6,30.7,25.6,11.8,6.3,5.8,378
"NH",26.6,27.2,26.1,14,6,5.2,367
"NJ",17.3,27.4,28.3,23.9,3.1,4.6,498
"NM",18.8,21.9,27.4,26.9,5,7.7,308
"NV",21.4,22.6,26.9,26,3.1,5.6,391
"NY",18.7,21.4,28.8,24.8,6.3,4.1,654
"OH",29.4,23.4,25.1,17.9,4.3,4.2,575
"OK",20.2,20.6,28.2,24.7,6.3,6.6,361
"OR",30.8,23.4,24.1,17.6,4,5.4,447
"PA",24,22.3,28.2,20.3,5.2,4,599
"RI",23.2,28.2,26,14.7,7.8,6,306
"SC",20.8,23.8,25,25.4,5,4.9,464
"SD",23.8,31.4,26.5,13.3,5,6.7,297
"TN",23.7,23.3,28,18.2,6.8,5,480
"TX",17.7,23,27,27.3,5,3.8,873
"UT",18.3,29.6,29,20.6,2.6,6.2,344
"VA",23.9,26.6,23.4,22.1,3.9,4.3,565
"VT",30.7,24.4,26.6,13.4,5,7,226
"WA",23.5,21.6,37.5,13.6,3.8,5.6,428
"WI",23.6,26.7,33.4,13.7,2.6,5,465
"WV",24.9,27.9,23,20.7,3.6,6.1,335
"WY",27.1,29.9,20.3,17.4,5.2,9,145
