How concerned, if at all, do you currently feel about the following: - Problems with childcare during  the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",11.9,10,11,13.2,53.8,0.8,22302
"AK",13.5,10.7,8.9,16.7,50.2,10.9,164
"AL",12.7,8.7,9.7,20.5,48.4,6.1,407
"AR",14.5,8.4,8,13.2,55.9,6.9,381
"AZ",11.4,7.8,9.5,16.2,55.1,5.3,594
"CA",12.3,13.6,10.8,14.9,48.4,4.2,842
"CO",14.6,7.7,10,10,57.7,5.7,478
"CT",12.4,8.4,10.6,12,56.5,6,414
"DC",5.9,10.8,17.7,25.8,39.7,6.5,298
"DE",11.3,6.7,11.7,14.6,55.8,6.4,350
"FL",11.7,7.1,13.7,14.4,53.1,4.4,840
"GA",16.8,8.8,10.9,19.4,44.1,5.5,494
"HI",9.8,12,11.2,10.6,56.4,6.2,450
"IA",10.6,10.3,15.3,12,51.8,6.2,411
"ID",15.9,9.3,10.1,7.5,57.2,6.4,353
"IL",9.8,12.4,11.4,10.3,56,4.9,546
"IN",11.1,10.2,11,12.6,55.1,5.8,487
"KS",14.6,10.1,13.4,12.1,49.9,6.6,374
"KY",13.5,8.4,12.1,11.4,54.6,6,442
"LA",12.5,7.5,14.3,16.4,49.2,6.8,397
"MA",8.9,12.3,8.9,13.7,56.2,5.3,469
"MD",14.4,9.9,10.4,12.9,52.3,5.4,454
"ME",11.6,7.2,9.5,7.9,63.8,6,373
"MI",13.3,7.6,5.8,11.9,61.4,5.2,465
"MN",16.8,8.9,6.7,6.4,61.2,5.1,485
"MO",12.8,11.6,8.2,11.6,55.8,5.5,476
"MS",8,10.1,12.2,16.1,53.6,6.9,342
"MT",11.5,11.1,6.8,8.2,62.4,6.7,296
"NC",12.4,7.7,10.2,11.8,58,5,540
"ND",13.4,10.5,10.9,7.2,58,9.2,188
"NE",14.9,11,10.7,8.4,55.1,6.3,375
"NH",11.8,10.8,7.5,6.6,63.4,5.6,368
"NJ",7.7,11.5,13.3,15.4,52.1,5.1,496
"NM",11.2,11,12.6,12.6,52.6,8.7,307
"NV",13.7,9.3,8,11.7,57.3,6.2,390
"NY",8.4,10.3,15.1,14.9,51.3,4.5,656
"OH",14.8,6.7,11.1,12.6,54.7,4.6,574
"OK",16.2,7.5,11,10.8,54.5,7.2,362
"OR",13.2,7.9,9.2,7.3,62.5,5.6,444
"PA",11.1,11.2,10.5,11.5,55.7,4.5,598
"RI",13.1,9.6,8.7,6.6,62.1,6.5,305
"SC",10.6,6.7,9.5,18,55.2,5.6,466
"SD",8.8,8.9,16.5,10.2,55.6,7.3,293
"TN",15.5,11.2,7.7,11.6,54,5.6,477
"TX",10.3,12.1,12.7,17.4,47.5,4.3,871
"UT",16.7,11.2,9,13.6,49.5,6.8,345
"VA",12.2,12.1,13.2,14,48.5,4.9,565
"VT",11.8,8.3,6.7,6.8,66.3,7.2,227
"WA",10.9,7.5,12.6,12.2,56.7,5.7,428
"WI",12.6,12.3,8.2,8.2,58.7,5.2,465
"WV",13.5,12.1,6.5,12.6,55.4,6.8,334
"WY",15.7,12.5,8,9.8,54,9.8,146
