How concerned, if at all, do you currently feel about the following: - Problems staying connected  with friends and family 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",24.1,26.4,26.8,17.8,5,0.8,22332
"AK",25.2,32.5,21.6,15,5.8,10.2,163
"AL",21.9,27.1,25.2,21.9,3.9,5.4,410
"AR",25.4,24.5,22.9,18.7,8.4,6.1,380
"AZ",27,23.6,26.9,17.6,5,4.7,593
"CA",20.1,27.4,28.6,20,4,3.8,843
"CO",30.9,22.4,27.9,13.9,4.9,5.4,481
"CT",24.5,29.4,27.3,12.6,6.2,5.5,415
"DC",15.3,20.4,29.8,30,4.5,6.1,297
"DE",22.6,31.2,23.3,18.7,4.2,5.9,353
"FL",27.4,26.2,22.4,18.5,5.6,3.9,837
"GA",28.8,24.3,24.2,18.8,3.9,5,497
"HI",22.7,31.5,25.1,17.1,3.6,5.8,450
"IA",24.1,21.5,29.8,18.5,6.1,5.7,411
"ID",32.1,28.3,22.9,11.6,5,6,355
"IL",21.9,27.9,29.6,17.2,3.4,4.4,549
"IN",27.2,24.8,24,17.4,6.5,5.2,487
"KS",23.5,28.2,27,16.4,5,5.9,375
"KY",23.3,24.4,29.4,14.6,8.3,5.5,443
"LA",23.2,28.8,25.6,17.9,4.6,6.2,395
"MA",16.4,29.3,29.7,19.9,4.7,4.8,469
"MD",20.4,29.9,27.2,18.7,3.8,5,454
"ME",23.1,26.9,28.9,14.3,6.8,5.6,373
"MI",23.8,27.5,23.8,19.7,5.3,4.8,465
"MN",28.5,24.8,30.9,13.3,2.6,4.8,488
"MO",24.9,28.7,25.5,16.2,4.6,5,479
"MS",26.2,25.1,21.3,22.9,4.5,6.1,341
"MT",42.7,23.2,19.6,10,4.5,6.9,296
"NC",25.9,27.2,28.4,12.1,6.4,4.6,539
"ND",24.9,36.6,21.2,12.4,4.9,9,187
"NE",30.2,24.4,27,14.2,4.2,5.8,379
"NH",22.6,23.9,32.5,14,6.9,5.4,367
"NJ",24.7,25.9,27,19.8,2.7,4.5,498
"NM",21,29.5,26.4,18.1,5,7.9,307
"NV",24,30.3,26.5,13.6,5.5,5.8,391
"NY",21.4,21.4,32.8,20.2,4.2,4.2,656
"OH",28.1,27.2,25.3,14.3,5.1,4.1,577
"OK",25.6,24.6,27.3,14,8.6,6.5,360
"OR",27,24.8,25.3,18.8,4.2,5.1,447
"PA",24.1,26,28.4,16.6,4.9,4.1,599
"RI",21.9,32.3,26.5,13.2,6,6.2,306
"SC",24.7,23.1,26.3,20.8,5.1,5,466
"SD",28.4,27.3,28.7,12.4,3.2,6.6,296
"TN",28.2,24.6,23.4,17,6.8,5.1,480
"TX",21.7,28.1,24.6,19.8,5.7,3.9,871
"UT",21.8,33.6,25.2,15.9,3.5,6.4,345
"VA",26.1,25.5,27.8,17.6,3,4.4,564
"VT",23.6,29.7,33.3,9.8,3.6,7.3,222
"WA",24.2,27.1,26.6,17.4,4.8,5.1,431
"WI",25.6,28.4,29.3,11.8,4.9,4.8,466
"WV",23.1,28.6,25.6,19.3,3.5,6.2,335
"WY",38.3,22.2,22.6,12.4,4.6,9.6,144
