I feel well-informed about about the current state of the COVID-19 outbreak. 
"","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Error Margin","N"
"National",2.9,5.6,16,47.4,28.1,0.8,6517
"AK",10.4,27.5,18.7,20.8,22.6,20.4,32
"AL",5.6,4.3,19.1,48,22.9,12,108
"AR",0.6,8.1,15.4,48.7,27.2,11.4,130
"AZ",4.4,4.9,14.8,56.7,19.2,11,140
"CA",2,5.5,12.8,58.1,21.6,6.5,350
"CO",5.4,4.8,24.7,40.7,24.3,10.4,145
"CT",3.1,3.7,16.3,49.6,27.2,10.9,126
"DC",2.6,9.1,11.6,38.4,38.3,16.6,42
"DE",2.8,7.3,19.6,45.5,24.8,10.9,111
"FL",4.2,3.9,14.9,47.9,29.1,7.4,285
"GA",1.9,8.4,18.8,37.1,33.8,9,172
"HI",1.5,7.2,15,46.9,29.5,12.6,105
"IA",2.7,9.6,16.5,49.8,21.5,11,132
"ID",0,4.9,32.4,50.3,12.4,17.1,48
"IL",2.9,10,15.9,44.7,26.5,8.4,182
"IN",4.3,5.1,16.6,50.5,23.5,10.6,144
"KS",1.7,7.9,17.3,45.4,27.7,11.3,122
"KY",3.1,7.7,22.1,38.6,28.5,11.1,117
"LA",2.7,9.7,11.4,38.8,37.5,13.1,103
"MA",1.2,4.5,14.5,51.8,28,10.4,121
"MD",2,4.1,10.5,55.4,28,9.8,134
"ME",6.5,4,17.6,53.6,18.3,15,66
"MI",3.2,5.3,19.1,46.1,26.3,9.3,152
"MN",1.4,7.6,10.2,52,28.7,9.3,149
"MO",4.5,7.3,29.5,40.2,18.6,10.5,125
"MS",6.9,11.6,19.5,33,28.9,12.3,101
"MT",4.6,1.6,12.1,58.3,23.4,14.6,64
"NC",1.3,4.7,22.6,42,29.4,8.9,168
"ND",1,6.3,19.2,47.6,25.9,18.4,49
"NE",1.1,9.8,15,47.4,26.7,12.7,94
"NH",7.5,0.9,13.3,42.2,36.1,14.4,59
"NJ",0.4,6.3,16.6,55.4,21.2,9.1,159
"NM",0,8.5,18.4,51.1,22.1,16.2,81
"NV",1.2,7,8.9,58.8,24.1,10.8,116
"NY",2.9,2.8,14.7,43.2,36.4,6.9,261
"OH",0.7,6.2,15,50,28.2,8.2,182
"OK",3.1,1.5,14.6,51.2,29.5,12.7,116
"OR",4.9,4.7,19.4,46.8,24.1,9.2,174
"PA",2.8,4.8,16.4,44.2,31.8,7.8,197
"RI",2.2,3.5,10.3,52.7,31.3,14.9,56
"SC",0.5,6.1,18.1,47.4,27.9,11.2,118
"SD",2.4,3.6,29.1,40.5,24.4,16.8,52
"TN",3.2,1.6,11.5,55.6,28.1,10.6,128
"TX",2.2,6.6,15.3,38.4,37.5,7.1,288
"UT",1.1,11.7,24.9,36.3,26,12.3,90
"VA",1.4,9.4,13.2,48.6,27.4,8.8,174
"VT",1.2,1.8,11,68.4,17.6,16.2,44
"WA",1.1,9.5,21.2,49.3,18.9,10.6,126
"WI",2,3.7,16.4,51,26.9,10,131
"WV",0.6,6.1,11.2,46.4,35.6,12,110
"WY",1.7,5.8,15.6,52.6,24.3,17.7,38
