I feel well-informed about government guidelines with regard to the outbreak. 
"","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Error Margin","N"
"National",4.4,6.6,16.6,41.1,31.2,0.8,6506
"AK",12.6,4.1,27.5,24.7,31.1,21.2,32
"AL",8,5.7,20.5,37.6,28.3,11.6,108
"AR",4.4,6.7,16,42.3,30.6,11.3,130
"AZ",7,7.5,24.3,39.9,21.3,10.8,140
"CA",3,3.8,18.4,43.7,31,6.6,349
"CO",10.5,4.5,23,38.8,23.2,10.3,145
"CT",5.9,11.3,13,42.8,27,10.8,126
"DC",11.7,7.4,16.8,32.2,31.8,16,42
"DE",4.7,11,15.4,36.7,32.1,10.6,111
"FL",5.5,3.4,17.4,44.4,29.3,7.4,282
"GA",7.6,6.5,12.6,36,37.2,9,173
"HI",1.8,6.3,21.1,42.6,28.1,12.5,105
"IA",5.4,12.4,12.2,47.7,22.3,10.9,132
"ID",0,1.6,32.9,36.7,28.8,16.5,48
"IL",4.6,4.9,16.4,47.3,26.8,8.4,182
"IN",3.7,2.7,18.4,43.5,31.7,10.6,143
"KS",3.8,9,12.9,39.5,34.7,11.1,122
"KY",3.6,5,18.4,37.2,35.8,11,117
"LA",8.4,8.4,11.2,34.9,37.1,13.1,102
"MA",3.3,8.3,16.1,48.1,24.1,10.4,121
"MD",1.3,6.2,11.1,49.3,32.1,9.9,133
"ME",6.5,4.1,16.7,49.6,23,15,66
"MI",7.9,5,23.1,32.8,31.2,8.7,153
"MN",4.5,6.1,12.1,51.8,25.6,9.4,147
"MO",4,11.9,21.3,39.4,23.4,10.4,126
"MS",8.2,5.2,18.5,27.6,40.6,12.8,101
"MT",4.3,5.5,16,40.4,33.7,14.5,64
"NC",3.5,8.8,17.8,34.6,35.3,8.6,167
"ND",1,7,23.9,54,14.1,18.3,49
"NE",1.9,8.4,18.6,40.4,30.8,12.6,93
"NH",6.4,7.9,19.2,27.6,39,14.2,59
"NJ",2.8,8.2,16.9,41.8,30.2,9,159
"NM",5.9,7.1,17,38,32.1,15.7,81
"NV",2.4,11.5,17.2,39.4,29.4,10.8,115
"NY",3.6,6.3,15,43.1,32.1,6.9,261
"OH",2.8,3.7,15.9,38.4,39.2,8,182
"OK",4.2,5.8,11.6,41.2,37.2,12.6,116
"OR",5.2,3.5,19.8,47.4,24.1,9.2,174
"PA",4.3,7.4,15.2,42.5,30.5,7.7,198
"RI",5,7.1,15.9,50.1,21.9,14.9,56
"SC",2.3,3.8,16,48.9,29,11.2,118
"SD",4.1,10,13.5,43.5,28.8,16.9,52
"TN",2.8,3,14,40.6,39.5,10.4,129
"TX",3.6,7.6,18.2,36.3,34.4,7,287
"UT",1.8,10,18.9,41.3,28.1,12.5,90
"VA",3.3,6,18.8,42.4,29.4,8.8,172
"VT",1.2,12.7,16.3,38.8,31.1,17,44
"WA",5.2,8.6,19,46.5,20.7,10.6,126
"WI",3,9.4,8.8,54.2,24.6,10,131
"WV",3.5,9.2,8.1,34.8,44.5,12,108
"WY",1.4,5.6,11.5,39.1,42.4,17.6,39
