In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","CNN","Fox News","MSNBC","The Trump administration","Error Margin","N"
"National",37.3,35.8,18.2,14.7,0,3070
"AK",38.7,32.8,23,16.2,10.7,167
"AL",34.7,45.2,15.9,13.6,6.1,413
"AR",32.8,36.5,13,23.5,6.7,382
"AZ",32.4,43.2,19.4,14.7,5.3,597
"CA",43.7,34.5,20.8,11.4,4.2,845
"CO",31.2,28.5,17.8,12.8,5.5,482
"CT",38.8,34.3,18.1,13,5.8,418
"DC",61.3,53.1,23.8,12.4,6.6,303
"DE",44.3,31.5,19,10.4,6.4,355
"FL",39.6,39.2,18.6,14.4,4.3,845
"GA",39.6,44.5,17.2,14.1,5.5,501
"HI",45,28.6,19.6,15.5,6.2,451
"IA",28.9,30.4,17,13.2,6,414
"ID",29.7,32.3,19.1,17.8,6,356
"IL",37.7,34.4,20.3,11.9,4.7,554
"IN",29.2,32.9,16.1,14.3,5.6,491
"KS",34.1,36.5,16.2,19,6.5,376
"KY",27.1,35.4,17.9,17.9,5.8,444
"LA",34.5,38.2,12.3,22.7,6.7,398
"MA",43,30,20.7,12.6,5.2,470
"MD",40.9,37.4,18.5,11.9,5.3,457
"ME",32.7,31.8,19.8,16.7,5.8,377
"MI",38.3,33.4,16.3,12.4,5.2,467
"MN",34.5,30.6,16,17.5,4.9,492
"MO",29.2,38.4,14.3,19.1,5.5,484
"MS",31.5,36.1,15.9,16.4,6.7,342
"MT",29.7,29.9,11.3,14,6.5,297
"NC",35.1,37.6,17,14.1,5,541
"ND",30.3,36.5,11.3,11.8,9.2,190
"NE",32.4,30.6,16.9,15.5,5.9,382
"NH",32.3,25.1,18.6,17.2,5.3,370
"NJ",47,32.8,21.1,12.7,5.1,500
"NM",28.5,31.3,19.5,16.6,7.8,308
"NV",40.1,38.6,22.7,12.9,6.3,392
"NY",50.9,32.8,20.5,12,4.5,658
"OH",32.1,34.5,16.5,14.7,4.4,579
"OK",28,32.4,20.4,15.1,6.8,362
"OR",33.9,30.1,13.9,12.7,5.5,448
"PA",34.9,31.9,17.7,14.4,4.3,604
"RI",38.7,28.2,23.6,10.2,6.5,308
"SC",34.1,39.4,16.8,18.4,5.5,466
"SD",33.5,35.6,15.2,14.8,6.9,299
"TN",35.9,37.3,15,18.2,5.5,481
"TX",39.7,41,17,14.4,4.3,877
"UT",27.2,39.2,13.2,15.9,6.8,346
"VA",37.5,35.4,18.2,13.9,4.7,569
"VT",37.2,22.3,16.7,13.6,7.2,228
"WA",39.6,30.4,19.9,13.7,5.5,432
"WI",35.3,32.1,17.5,12.7,5,469
"WV",29.7,41.3,16.5,19.6,6.8,336
"WY",21.2,27.3,11,15.3,8.8,147
