Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - The federal government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",48.9,41,10.1,0.8,22274
"AK",60.3,29.5,10.2,10.7,164
"AL",41,50.4,8.6,6.1,408
"AR",41.2,46,12.8,7,376
"AZ",53.2,36.5,10.3,5.3,594
"CA",54.3,36.1,9.6,4.2,838
"CO",52.9,34.5,12.6,5.8,480
"CT",54.2,39.3,6.5,6,410
"DC",53.8,38,8.2,6.6,300
"DE",54.1,37,8.8,6.4,352
"FL",48.6,42.7,8.8,4.4,837
"GA",41,50.5,8.5,5.6,493
"HI",58.1,36.6,5.3,6.2,448
"IA",54.6,36.9,8.5,6.2,407
"ID",40.3,42.2,17.5,6.3,353
"IL",53.1,38.4,8.6,4.9,543
"IN",46.6,42.4,11,5.8,487
"KS",47.3,42.4,10.3,6.5,374
"KY",39.1,50.1,10.8,6,443
"LA",36.6,52.2,11.1,6.8,397
"MA",58.5,36,5.5,5.2,467
"MD",49.2,43,7.7,5.4,455
"ME",52.6,39.4,8,6.2,372
"MI",57.2,35.2,7.6,5.3,460
"MN",51.3,38.6,10.2,5.2,490
"MO",40.8,45.6,13.6,5.5,476
"MS",41.2,50.1,8.7,7,341
"MT",40.2,42.4,17.4,6.9,295
"NC",47.7,41,11.3,5.1,540
"ND",39.5,44.5,16.1,9.3,189
"NE",43.8,46.7,9.5,6.3,378
"NH",53,38,9,5.8,365
"NJ",54.7,39,6.3,5.1,498
"NM",47.3,43.5,9.2,8.7,306
"NV",51.1,36.7,12.2,6.4,385
"NY",45.7,46.7,7.6,4.5,651
"OH",45.9,42.3,11.8,4.6,572
"OK",45.7,41.1,13.2,7.3,360
"OR",50.1,34.9,14.9,5.8,447
"PA",47.1,44.1,8.8,4.5,600
"RI",55.5,37.9,6.5,6.6,307
"SC",47.6,42.7,9.7,5.7,459
"SD",41.3,46.7,12,7.2,299
"TN",40.2,45.7,14.1,5.6,480
"TX",48.4,42.3,9.2,4.3,868
"UT",43.8,40.5,15.7,6.7,342
"VA",49,40.7,10.2,4.9,563
"VT",54.1,35.5,10.4,7.6,227
"WA",56.7,31.7,11.6,5.7,430
"WI",55.1,31.2,13.8,5.3,468
"WV",39.1,50.8,10,6.9,333
"WY",26.8,49.5,23.8,9.8,147
