Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Requiring most businesses other than grocery stores and pharmacies to close 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",11.5,18.7,33,36.8,0.8,22364
"AK",10.1,23.5,36,30.4,10.4,166
"AL",10.7,21.2,34.1,33.9,5.8,409
"AR",13.6,25.1,33.7,27.6,6.6,381
"AZ",12.7,21.6,32.9,32.9,5,594
"CA",9.4,16.7,33.2,40.6,4.2,843
"CO",17.7,22,26,34.2,5.5,481
"CT",9.4,17.1,35.8,37.8,5.8,417
"DC",4.9,9.6,33,52.5,6.6,302
"DE",7.2,14.6,39.9,38.4,6.3,354
"FL",9.2,23.4,32.2,35.1,4.2,837
"GA",11.8,17.3,33,38,5.4,497
"HI",9.8,16.5,35.8,37.9,6.1,451
"IA",9.9,20.5,31.9,37.8,6,412
"ID",16.9,21.7,32,29.5,6,355
"IL",11.8,21.3,32.9,34,4.6,551
"IN",13.9,17.9,34.8,33.3,5.6,487
"KS",12.2,20.8,36.7,30.3,6.3,374
"KY",11.6,18.5,28.6,41.2,5.9,443
"LA",9.7,16.9,34.7,38.7,6.6,397
"MA",10.5,14.1,37.3,38.1,5.2,466
"MD",7.2,15,34,43.8,5.4,456
"ME",11.6,21,37,30.4,5.9,376
"MI",12.4,18.8,29.2,39.7,5.3,463
"MN",16.5,20.6,30.5,32.3,4.9,492
"MO",11.5,22.5,28.8,37.2,5.3,484
"MS",10.6,16,31.5,42,6.9,342
"MT",19.9,23.5,30.5,26.2,6.4,295
"NC",14.8,19.4,29.9,36,4.9,540
"ND",19.4,29.9,33.1,17.5,8.8,189
"NE",13.9,19.5,39.1,27.4,6.2,378
"NH",11.9,15.3,30.5,42.3,5.7,369
"NJ",8,13.3,33.7,45,5.1,498
"NM",17.2,17.6,31,34.3,8.3,306
"NV",11.8,23.2,29.4,35.5,6.1,390
"NY",8.3,12.7,32.4,46.7,4.5,653
"OH",11.9,21,32.5,34.6,4.4,577
"OK",14,14,34.2,37.8,7.1,361
"OR",11.9,20.7,37.8,29.6,5.6,443
"PA",14.7,17.5,35.8,32.1,4.3,601
"RI",11.5,20.4,26,42.1,6.5,307
"SC",12,15.1,36.8,36.1,5.4,465
"SD",15.6,25.9,33.4,25.1,6.9,295
"TN",9.8,19.3,35.1,35.9,5.4,479
"TX",10.4,17.7,30.8,41.1,4.2,873
"UT",16.5,28,33,22.5,6.4,344
"VA",12.2,15.8,34.5,37.5,4.7,569
"VT",9,18.5,28.2,44.3,7.6,227
"WA",10.9,20.4,30.1,38.7,5.6,429
"WI",14.9,19.6,31.8,33.6,5,465
"WV",10.1,20.7,36.6,32.6,6.6,335
"WY",18.5,29.1,26.6,25.7,8.9,146
