Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Limiting restaurants to carry-out only 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",6.7,11.1,28.4,53.7,0.8,22323
"AK",5.8,12.4,37.5,44.3,10.8,166
"AL",8.8,13.4,21.7,56,6,411
"AR",6.8,11.3,30.5,51.4,7,378
"AZ",6.5,10.8,28.6,54.1,5.3,596
"CA",4.6,8.8,28.8,57.7,4.2,837
"CO",12.5,13.4,27.8,46.4,5.8,482
"CT",5.2,12.2,26.2,56.5,5.9,416
"DC",2.1,9.5,16.1,72.2,5.9,301
"DE",6.2,6,29.4,58.4,6.3,354
"FL",6.8,12.1,30.9,50.2,4.4,840
"GA",5.4,14.7,27.2,52.8,5.5,494
"HI",5.8,8.1,27.9,58.2,6.2,449
"IA",6.9,13.8,28.5,50.8,6.2,411
"ID",10.8,14.2,24.8,50.2,6.4,354
"IL",6,13.8,30.7,49.5,4.9,545
"IN",8.3,11.3,29.3,51.1,5.8,490
"KS",8.1,12.5,28.5,50.9,6.5,375
"KY",6.1,13,26.9,54,6,443
"LA",3.8,7.4,31.4,57.4,6.7,398
"MA",5.5,9,29.9,55.6,5.3,466
"MD",2.6,10.9,28.7,57.8,5.3,454
"ME",7.5,10.2,31.1,51.1,6.2,376
"MI",6.3,8.7,26.9,58,5.3,464
"MN",12.6,11,32.2,44.2,5.2,487
"MO",7.5,14.5,30.5,47.4,5.5,478
"MS",5,6.8,30.1,58,6.9,340
"MT",14.2,16.5,25.3,44,6.9,293
"NC",8.5,13.4,26.3,51.8,5.1,538
"ND",10.4,18.2,37.1,34.3,9,189
"NE",9,13.7,27.6,49.7,6.3,381
"NH",8.5,9.1,22.5,59.9,5.7,368
"NJ",4.9,9.6,24.9,60.6,5,498
"NM",9,16,23.4,51.6,8.7,307
"NV",5.5,12.2,31.6,50.6,6.3,389
"NY",4.7,8.7,24.9,61.6,4.4,652
"OH",8.1,11.2,32.1,48.6,4.6,577
"OK",8.2,11.9,25.3,54.5,7.3,359
"OR",8.5,13,30.4,48.1,5.8,445
"PA",8.9,12.2,29.4,49.4,4.5,602
"RI",6,14.2,25.9,53.9,6.6,307
"SC",6.6,7.3,31.8,54.3,5.6,464
"SD",8,13.6,33.7,44.8,7.3,293
"TN",5.5,13.2,28.9,52.4,5.6,478
"TX",7.2,9.9,28.1,54.8,4.3,869
"UT",8,16,31.8,44.2,6.7,343
"VA",7.6,10.5,25.6,56.3,4.9,564
"VT",4.6,9.5,27.6,58.4,7.5,227
"WA",5.8,12.6,29.8,51.8,5.7,429
"WI",9.8,12.2,25.4,52.7,5.3,467
"WV",7.2,7.1,28.1,57.6,6.8,332
"WY",12.1,21.2,29.2,37.5,9.5,147
