Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting international travel to the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",3.6,6.8,27.6,62,0.8,22349
"AK",6.6,9.1,40.2,44.2,10.9,165
"AL",3.1,7.4,24.3,65.2,5.8,411
"AR",3.3,5.1,28.7,62.8,6.7,381
"AZ",4.9,8.1,26.4,60.6,5.2,596
"CA",3.1,7.6,26.7,62.6,4.1,841
"CO",8.7,13.2,29.6,48.5,5.8,480
"CT",3.2,8.9,29.4,58.4,5.9,417
"DC",2.7,3.2,24.7,69.4,6.1,302
"DE",2.9,3.8,30,63.3,6.2,354
"FL",3.2,5,28.2,63.6,4.2,837
"GA",3,8.9,25.3,62.7,5.4,496
"HI",4,3.8,19.6,72.7,5.6,451
"IA",2,8.3,31.2,58.5,6.1,412
"ID",4.7,8,30.2,57.1,6.3,354
"IL",3.5,6.9,33,56.6,4.8,549
"IN",3.7,7.3,29.1,59.9,5.7,489
"KS",4.7,6.2,26.2,62.9,6.3,376
"KY",3.6,6.8,25.1,64.5,5.7,442
"LA",2.4,6.3,26.6,64.8,6.5,398
"MA",2.5,6.1,30.2,61.2,5.2,465
"MD",1.4,4.1,32.4,62.1,5.2,457
"ME",2.7,7.7,26.4,63.2,6,375
"MI",2.4,4.7,27.1,65.8,5.1,464
"MN",5.3,6.7,31.2,56.8,5.2,491
"MO",2.7,8.2,30.1,59,5.4,480
"MS",4,4.7,24.7,66.6,6.6,339
"MT",2.8,10.8,28.6,57.9,6.9,296
"NC",4,7.7,25.2,63.2,4.9,539
"ND",7.1,5.1,39.7,48.1,9.3,189
"NE",4.4,10,33,52.6,6.3,380
"NH",3.4,6.4,21.2,69,5.3,369
"NJ",2.4,4.8,24.8,68,4.8,500
"NM",6.3,9.2,21.4,63.1,8.4,308
"NV",4,9.6,25.5,61,6.2,391
"NY",3,5,24.1,67.9,4.2,653
"OH",6.4,7.2,22,64.4,4.4,576
"OK",3.2,5.9,27.5,63.5,7,360
"OR",3.9,7.6,32.2,56.2,5.8,442
"PA",4.1,5.9,28.2,61.8,4.4,603
"RI",1.8,7,26.5,64.8,6.3,308
"SC",4,5.2,28.4,62.4,5.5,464
"SD",4.5,8,32.6,54.9,7.3,293
"TN",1.8,5,28.5,64.7,5.4,477
"TX",4.6,7.6,24.4,63.4,4.1,871
"UT",4.2,8.8,40.1,46.8,6.8,344
"VA",3.7,7.3,26.3,62.7,4.7,565
"VT",2.9,4.1,27.9,65.2,7.3,226
"WA",4.2,8.9,32.2,54.7,5.7,431
"WI",3,6.8,24.4,65.8,5,464
"WV",3.1,7.5,21.7,67.7,6.4,331
"WY",3.7,10.3,27.1,58.9,9.6,147
