In the last 24 hours, have you been in a room (or another enclosed space) with people who were not members of your household? This might have been at a social gathering, a work meeting, or another type of event. 
"","No, I have not","Yes, with 1-2 other people","Yes, with 3-4 other people","Yes, with 5-6 other people","Yes, with 7-8 other people","Yes, with 9-10 other people","Yes, with 11-50 other people","Yes, with 51-100 other people","Yes, with over 100 other people","Error Margin","N"
"National",57.2,17.1,9.1,5.1,2.5,3.1,4.2,0.9,0.8,0.8,22424
"AK",55.1,18.6,8.4,6.3,5.5,1.7,3.2,0.6,0.6,10.8,167
"AL",51.8,19.7,11.9,4.2,3.5,3.4,3.8,1,0.7,6,413
"AR",59.5,16,7.7,5.8,2.7,2.7,3.7,0.4,1.5,6.8,382
"AZ",54.5,18.4,9.8,4.3,3.7,2.3,4.8,1.5,0.6,5.3,597
"CA",62.5,16,7.5,5.8,2.8,2.2,2.3,0.2,0.7,4.1,842
"CO",55.1,15.7,9.1,4.2,1.7,3.5,9.1,0.9,0.7,5.8,481
"CT",60.6,17,6.8,3.8,1.9,3.5,3.6,1.7,1.2,5.8,416
"DC",64.5,16.4,8.2,3.5,1.9,2.3,2.4,0.3,0.4,6.3,303
"DE",58.5,17.1,9.5,4.4,3.2,1.9,2.8,2.1,0.3,6.3,352
"FL",58.3,17.6,6.8,4.4,3.5,4.5,3.2,1.4,0.3,4.3,841
"GA",62.5,15.1,9.6,4.8,2.5,1.2,3.7,0.6,0,5.4,500
"HI",52.4,17,8.5,6.7,3.6,4.9,5.3,1.3,0.4,6.3,451
"IA",58.8,14,10.6,5.5,2.1,1.6,5.3,0.9,1,6.1,412
"ID",37.7,22.5,14.1,4.2,4.7,3.8,8.7,3.5,0.9,6.2,356
"IL",59,18.1,8.7,4.9,1.9,3,3.1,0.5,0.9,4.8,553
"IN",53,14.4,12.6,5.4,2,4.6,4.4,2,1.7,5.8,488
"KS",53.9,16.7,7.6,6.1,3.2,4.3,5.6,1.3,1.3,6.5,375
"KY",58.2,21.2,6.3,4,1.5,2.6,4,0.9,1.3,5.9,444
"LA",51.2,20.1,5.7,6.8,1.4,3.7,8,1.1,2,6.8,398
"MA",60.9,18.4,9.9,3.9,1.4,1,2.8,1.3,0.4,5.2,470
"MD",63.4,18.9,5.9,4.7,2.4,1.7,2.4,0.2,0.3,5.2,457
"ME",55.1,21.4,9.7,5.3,2.4,2.5,2.6,0.7,0.3,6.1,376
"MI",61.3,15.7,9,3.9,2.8,2.7,2.9,0.8,1,5.2,465
"MN",49.8,17.2,9.1,6.6,2.2,4,7.7,1,2.4,5.2,491
"MO",54.3,16.8,11.5,6.1,1.7,3.2,5.3,0.9,0.1,5.5,482
"MS",54.7,14.4,11.8,6.9,1.7,3.5,5.3,1.1,0.7,6.9,342
"MT",48.1,16.5,11.2,8.7,2.5,4.5,7.6,0.5,0.3,6.9,297
"NC",58,18.3,6.8,5.2,2.1,3,4.8,0.5,1.2,5,540
"ND",41.1,18.1,13.7,12.5,2.5,1.3,7.2,2.1,1.5,9.1,190
"NE",49.5,16.9,11.9,8.3,2.9,5.5,3.8,0.8,0.4,6.3,382
"NH",62.7,17.8,7.8,3.4,1.6,2.2,3.5,0.4,0.6,5.6,370
"NJ",65.2,14.7,8.3,2,4,1.8,2.1,1,0.9,4.9,498
"NM",57.6,18.4,9.8,5.1,0.3,1.4,5.5,1.6,0.3,8.6,308
"NV",60.5,15.2,7.9,6.1,2.2,2.2,3.4,0.9,1.4,6.2,392
"NY",66,14.7,7.7,4.7,2.9,1.9,1.6,0.4,0.2,4.3,654
"OH",52.9,20.2,9.1,5.2,2.9,3.3,4.2,1.6,0.6,4.6,576
"OK",60.7,16.1,7.3,3.1,3.2,3,3.7,0.2,2.7,7.1,362
"OR",57,17.3,7.4,4,1.8,5,4.5,1.4,1.6,5.7,447
"PA",59.7,17.2,7.2,3.8,2,4.4,4.2,0.3,1.1,4.4,602
"RI",53.2,17.4,12.7,6.3,1.5,3.4,3.5,1.9,0.2,6.6,308
"SC",55.9,12.1,13.5,5.4,1.7,6.7,3.4,0.8,0.5,5.6,466
"SD",43.1,20.7,13.7,5.9,1.1,5.1,8.7,1,0.7,7.2,298
"TN",53.4,15.4,11.4,4.8,3.2,2.8,7.3,1.1,0.8,5.6,481
"TX",57.9,16.9,10.1,4.8,2.8,2.9,3.9,0.3,0.4,4.3,874
"UT",43.4,20.1,13.5,7.6,4.8,2.7,5,0.8,2.2,6.7,345
"VA",50.8,21.4,10.6,4.4,2.5,3,5,1,1.1,4.9,569
"VT",52.6,18.6,14.1,4.4,2.4,1.8,5.8,0.4,0,7.6,228
"WA",62.8,16.6,9.5,4.4,1.8,1.2,2.6,0.7,0.4,5.5,432
"WI",56.1,19.7,8,5.5,1.7,2.6,4.9,0.7,0.7,5.3,469
"WV",54.5,20.9,8.6,3.1,2.5,3.3,4.8,2,0.4,6.8,336
"WY",47.3,19.4,7,9,2.7,4.1,8.2,0,2.3,9.8,146
