Household income range 
"","Under 15K","15K to under 25K","25K to under 35K","35K to under 50K","50K to under 75K","75K to under 100K","100K to under 150K","150K to under 200K","Over 200K","Error Margin","N"
"National",14.5,13.4,11.7,12.8,18,11.8,10,4.1,3.8,0.7,22030
"AK",16.2,8.9,6.2,11.3,23.6,7.2,9.5,8.7,8.4,9.2,166
"AL",17.4,16.9,14.7,10.7,17.6,10,7.8,3,2.1,4.6,407
"AR",18.4,23.7,9.8,12.9,14.5,8.2,8.9,1.8,1.8,6,377
"AZ",9.9,10,16.1,13.9,16.9,12.4,13.6,3.6,3.5,4,591
"CA",13.2,11.1,9.1,12.4,16.6,13.3,12.1,6.4,5.8,3.2,819
"CO",11.3,12.1,11.9,12.7,19.9,11.5,12.1,4.2,4.3,4.7,476
"CT",10.5,13.3,7,10.8,18.1,12.3,14.6,8.3,5,4.7,404
"DC",17.1,7.6,5.4,13.2,7.9,12.9,12.1,10.8,13.1,5,298
"DE",11.8,9.2,14.1,14.4,22.5,12.8,9.2,2.6,3.3,5.4,352
"FL",13.1,11,14.1,15.6,21.5,10.4,7.6,3.6,3,3.6,826
"GA",14.4,14.9,11.6,13.4,17.4,10.9,8.5,4.8,4.1,4.2,487
"HI",13.8,7.1,11.1,9.9,17.8,15.2,17.7,5.7,1.8,4.8,447
"IA",12.5,14.4,11.3,12.5,21.8,15.1,6.9,3,2.5,5.2,407
"ID",22.2,18,10.4,11.5,19.2,10.2,6,1.4,1,5.3,353
"IL",15.5,10.9,10.6,12.9,18.9,10.9,10.6,4.7,4.8,3.8,546
"IN",14,15.6,11.8,14.1,22.2,11.7,6.1,2,2.5,4.9,480
"KS",11.1,14.5,10.6,13.1,21.8,10.8,9.6,5,3.5,5.4,370
"KY",18.2,17.8,10.1,13.2,16.4,10.7,9.3,2.5,1.8,4.7,431
"LA",18.7,19.5,12.7,11,15,10.2,6.7,2.3,4,5.4,393
"MA",9,13.2,11.2,7.4,18.9,13.3,13.4,7.3,6.2,4.2,463
"MD",12.2,11.7,10.6,10.6,16,10.5,15.8,7.6,5,4,442
"ME",11.9,18.9,13.2,11.4,22.8,8.8,9.2,2,1.6,5.2,373
"MI",14.5,9.9,10.3,18.8,18.5,15.1,9.3,1.8,1.7,4.2,460
"MN",10.8,11.2,12.1,12.2,16.3,14.4,13.7,4.7,4.7,3.9,488
"MO",14.9,15.8,12.9,10.4,20.1,12.8,7.8,2,3.3,4.4,477
"MS",21.7,17,12.8,16.2,11.1,8.4,8.5,2.5,1.6,5.8,336
"MT",8.7,14.9,14.2,17.9,19.4,11.2,8.5,3.5,1.6,5.5,293
"NC",14.9,14,12,13.6,21,9.6,9.9,2.4,2.7,4.2,530
"ND",11.5,13.9,7.4,14,21.5,14.4,13,2.7,1.7,7.6,190
"NE",15.4,11,10.3,15,24.1,10.9,8.2,2.5,2.7,5.4,378
"NH",13.4,9,10.3,11.8,19,15.3,14.6,4.2,2.4,4.6,365
"NJ",12.9,8.8,7.5,11.7,15.2,15.3,12.4,8.4,7.7,3.7,492
"NM",16.1,22.1,15.1,16.1,15.1,7.3,5,1.2,2.1,7.2,306
"NV",9.2,14.6,15.5,11.8,21,10.1,10.4,4.4,3,5.2,384
"NY",13.1,12.9,9.1,10.4,17,12.9,11.9,5.8,6.9,3.4,629
"OH",16.2,15.7,12.6,11.3,18.5,13.3,7.3,2.4,2.7,3.6,566
"OK",23.3,15.3,11.9,15.5,12.9,8.5,9,1.2,2.3,6.2,355
"OR",13.1,12.7,8.8,16.3,18.6,12.2,9,4.1,5.1,4.5,443
"PA",14.4,12.9,12.1,11,18.9,12.8,10.8,5,2.1,3.6,576
"RI",12.6,13,11.2,13,16.9,16.5,10.4,2,4.4,5,304
"SC",16.4,11.9,14.3,15.6,17,11.3,9.1,2.4,1.8,4.3,454
"SD",15.3,11.5,12.6,14.2,13.6,16.4,9.6,2.1,4.8,5.4,294
"TN",12.9,19.7,14.3,13.2,19.2,7.6,8.4,3.3,1.3,4.5,473
"TX",19.1,15.7,11.2,11.6,15.8,11.8,7.9,3.1,3.8,3.4,852
"UT",12.4,10.5,14.6,9.1,20.2,16.9,11.5,3.9,1.1,5.5,341
"VA",16,10.5,6.6,8.8,19.9,13.7,12.9,6,5.5,3.9,555
"VT",11.9,12.8,10.5,18,17.9,9.2,13.3,2,4.5,5.9,227
"WA",14.2,8.8,10.9,13.8,17.9,14.1,10.5,5.5,4.3,4.4,425
"WI",10.8,11.9,15.9,16.6,19.5,12.6,6.4,3.5,2.7,4.3,456
"WV",21.9,17.7,12.5,14.6,13.1,10.6,7.7,1.4,0.4,5.7,331
"WY",15.9,15.7,8.7,13.1,21.2,10.9,9.8,1.9,2.8,8.1,142
