How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Congress 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",19,35.2,37.1,8.6,0.8,22346
"AK",25.8,33.3,37,3.9,10.5,167
"AL",21.6,32.6,36.8,9,5.8,413
"AR",22.9,38.3,29.5,9.3,6.8,382
"AZ",23.6,33.6,34.9,7.9,5.1,597
"CA",17.1,31.6,41.4,9.9,4.2,839
"CO",24.5,37.6,31.7,6.2,5.7,478
"CT",16.4,41.8,36,5.9,5.9,415
"DC",14.7,29.2,42.3,13.8,6.6,300
"DE",18.5,37.4,38,6.1,6.2,351
"FL",19.5,34.4,39.2,6.8,4.3,838
"GA",19.4,31.3,38.3,10.9,5.4,498
"HI",21.7,34.7,36.8,6.8,6,449
"IA",22.9,32.6,37.1,7.3,6,413
"ID",25.3,37.8,32.6,4.3,6.2,354
"IL",19.5,34.6,36,9.9,4.7,551
"IN",17.6,36.5,38.4,7.5,5.7,488
"KS",22.4,38.6,30.2,8.8,6.4,375
"KY",17.9,31.6,40.5,10,5.9,440
"LA",14.2,36.5,34.3,15,6.6,395
"MA",16.5,39,37.4,7.1,5.2,463
"MD",14,32.5,42.9,10.6,5.4,455
"ME",17.6,36.2,40.3,5.8,6,376
"MI",17.9,40.5,35.5,6.1,5.3,461
"MN",20.9,40.3,33.8,5,5.1,490
"MO",17.6,38.6,37.6,6.2,5.4,481
"MS",19.5,30.6,41.8,8.1,6.9,339
"MT",26.1,40.3,28.1,5.5,6.8,295
"NC",20.1,34.6,36.4,8.8,4.9,539
"ND",15.9,39.4,37.2,7.5,9.1,188
"NE",19.1,34,42.8,4.1,6.2,380
"NH",20.7,37.5,33.2,8.6,5.6,370
"NJ",18.9,36.1,37.7,7.4,4.9,498
"NM",18.5,45.9,33.6,2,8.7,305
"NV",24.5,37.9,31.4,6.2,6.1,390
"NY",15.7,30.9,42.1,11.3,4.4,654
"OH",18.5,35.6,35.4,10.6,4.4,579
"OK",18.6,35,34,12.4,6.9,362
"OR",19.4,36.4,37.5,6.7,5.6,447
"PA",16.6,36.2,39.7,7.6,4.4,599
"RI",12.6,38.4,37.7,11.3,6.4,308
"SC",20.8,34.3,37.5,7.5,5.5,462
"SD",22.1,34.1,35.9,7.9,7,292
"TN",22.3,33.6,34.6,9.5,5.4,480
"TX",17.6,33.7,39.1,9.6,4.2,870
"UT",20.2,34.3,36.6,8.9,6.5,345
"VA",20.1,36.2,34,9.7,4.7,568
"VT",13.5,42.4,38,6.1,7.5,227
"WA",21.6,36.1,36.6,5.7,5.5,430
"WI",22.9,33.5,37.8,5.8,5.1,467
"WV",16.2,36.1,37.3,10.3,6.6,336
"WY",22.4,32.7,38.4,6.6,9.5,147
