Race recoded 
"","White","Hispanic","African American","Asian","Other race","Error Margin","N"
"National",65,14.1,12.2,6.1,2.6,0.8,22470
"AK",62.4,6.7,3.1,6.3,21.5,10.5,167
"AL",67,3.1,26.1,1.4,2.5,5.7,413
"AR",73,6.7,15.5,1.5,3.2,6.2,382
"AZ",59.7,27.1,4.3,3.5,5.3,5.2,597
"CA",40.9,32.5,5.3,17.4,4,4.2,845
"CO",71.1,18.8,4.1,3.3,2.7,5.3,482
"CT",69.2,13.8,9.7,4.6,2.8,5.5,418
"DC",37,10.6,45.4,3.9,3.1,6.6,303
"DE",64.2,7.5,21.7,3.8,2.8,6.1,355
"FL",56.9,22.9,14.8,2.9,2.5,4.3,845
"GA",54,8.6,31.2,3.6,2.7,5.5,501
"HI",24.5,10.6,1.9,37,26,6,451
"IA",87.7,4.9,2.8,2.4,2.2,4.1,414
"ID",82.3,12.1,0.6,1.4,3.5,4.9,356
"IL",60.3,16.9,14.8,5.8,2.3,4.8,554
"IN",80.8,6,8.5,2.2,2.5,4.6,491
"KS",80.2,7.6,5.8,2.9,3.5,5.2,376
"KY",85.5,2.9,7.9,1.3,2.4,4.2,444
"LA",59.8,4.8,30.9,1.8,2.7,6.7,398
"MA",73.4,10.6,6.9,6.4,2.7,4.7,470
"MD",52.1,9.3,29,6.3,3.3,5.4,457
"ME",93.7,1.5,1.3,1,2.5,3,377
"MI",75.2,4.7,14.3,2.6,3.3,4.6,467
"MN",83.4,3.9,5.2,3.9,3.6,3.9,492
"MO",80.2,4.1,11,2,2.6,4.4,484
"MS",56.5,3.2,37.5,1,1.9,6.9,342
"MT",86.2,3.7,0.4,0.9,8.8,4.8,297
"NC",63.6,8.8,21.3,3,3.1,4.9,541
"ND",87.3,3.6,2.6,1.4,5.2,6.2,190
"NE",79.9,9.8,4.7,2.4,3.1,5,382
"NH",90.5,3.4,1.3,2.7,2,3.4,370
"NJ",60.9,14.9,12.9,8.8,2.5,5,500
"NM",42.8,43.8,1.9,1.4,10.1,8.6,308
"NV",55.7,20.6,9.4,8.5,5.7,6.3,392
"NY",55.6,18.3,14.1,9,3,4.5,658
"OH",79,3.6,12.2,2.3,2.8,3.7,579
"OK",69,8.1,6.3,2.1,14.4,6.7,362
"OR",77.3,11,2,4.5,5.3,4.9,448
"PA",76.5,6.1,11.3,3.7,2.4,3.8,604
"RI",73.3,15.1,5.7,2.4,3.5,5.9,308
"SC",66.3,4.7,25.1,1.6,2.3,5.3,466
"SD",83.3,3.7,1.8,1.5,9.7,5.4,299
"TN",74.1,4.8,16.8,1.8,2.5,4.9,481
"TX",46,34.1,12.2,5.2,2.5,4.3,877
"UT",80.2,12.2,1,2.4,4.1,5.4,346
"VA",61,9.5,19.1,6.7,3.8,4.8,569
"VT",92.8,2,1.2,1.7,2.3,3.9,228
"WA",70.9,9.8,3.8,8.8,6.7,5.2,432
"WI",83.4,4.5,6.5,2.8,2.9,3.9,469
"WV",91.8,1.6,3.7,0.8,2.1,3.7,336
"WY",85.3,8.5,0.9,0.8,4.5,6.9,147
