We’d like to get your feelings towards different groups on a scale of 0 to 100, which we call a “feeling thermometer. 
"","Republicans","Democrats","Asian people","Black people","Hispanic people","White people","Scientists","Trump supporters","Biden supporters","Error Margin","N"
"AK",44.3,42.4,76.3,79.2,78,73.3,79.4,39.1,37.2,3.9,142
"AL",54.1,39.2,73.9,78,75.4,75.7,73.1,51.4,39.5,2.4,377
"AR",49.3,42.8,71.5,76,72.8,74.6,73.5,44.2,39.3,2.7,335
"AZ",44.7,45.8,76.8,77.6,79.5,74.8,76.9,40.6,43.1,2.1,532
"CA",40,57.8,76.7,76.2,78.4,74.1,79.5,29.9,55.4,1.6,787
"CO",42.2,46,76,79.9,80.9,73.8,76.3,35.3,42.5,2.3,434
"CT",38.5,52.1,77.1,78.8,79.5,76.5,80.2,31.6,50.4,2.1,368
"DC",35.3,70.7,74.8,84.4,78.4,71.4,80.7,26.8,69.1,2.3,275
"DE",41,54.4,73.5,75.5,74.9,74.7,78.8,34,56.4,2.5,316
"FL",47.8,48.9,71.5,74.8,75.3,73.5,75.2,42.4,46.5,1.8,789
"GA",49.8,48.8,75.7,81,78.2,73.9,78.6,44.1,46.7,2.5,462
"HI",36.8,49.1,81.8,77.9,78,72.4,78.9,26.4,46.8,2.3,390
"IA",39.9,52.6,75.4,76.4,77,78.2,79.6,34.2,50.9,2.2,363
"ID",47.5,37.5,78.8,81.4,81.3,78.3,76.2,42.2,36,2.5,309
"IL",41.5,52,72.1,75,74.8,75.9,79,34.8,51.1,1.9,509
"IN",45.9,43.9,72.1,73.2,72.9,73.3,76.4,40.4,41.5,2.3,439
"KS",48.3,40.3,75.5,78.2,78.1,76.1,78.2,41.9,38,2.7,344
"KY",52.2,44,71.8,75.5,73.7,75.7,74.7,50,41.5,2.5,390
"LA",51.3,43.2,71.7,76.1,73,73.7,73.6,49.6,39.4,2.8,353
"MA",34.5,55.7,79.5,82.2,80.7,75.8,81.1,27.2,55.2,1.9,428
"MD",39.8,56.7,74.9,78.7,75.4,72.4,78.3,32.7,56.2,1.9,420
"ME",46.8,47.3,77.3,78,78.2,78.6,80.1,40.2,47.3,2.4,325
"MI",37.5,55.8,78.3,80.6,79.5,77.7,77.9,32.5,53.3,1.9,434
"MN",43.7,45.8,78.1,79.3,78.3,78.5,79,36.5,44.5,2,456
"MO",49.6,45,74.1,76.1,75,77.4,76.1,44.8,41.9,2.2,429
"MS",50.8,43,68.8,78.2,71.8,70.6,70.1,46.8,43.5,2.9,304
"MT",48.9,37.8,77.9,77.5,79.4,80.9,79.7,44.5,35.2,3.1,247
"NC",46.5,47.7,73.5,76.7,74.6,75.5,75.9,40.8,46.3,2.1,503
"ND",58.7,31.9,69.5,68,69.8,78.1,77.5,50.5,30.9,3.8,162
"NE",50.1,40.7,79,80.1,80.5,77.3,76.1,40.3,38.2,2.5,328
"NH",41,49.7,78.2,79.7,79.6,78,81.6,33.8,48.3,2.3,332
"NJ",40.3,54.3,74.1,76.6,75,73,79.6,32.4,53.3,1.8,454
"NM",44,48.1,73.8,79.6,83,74.5,78.3,36.4,45,3.2,279
"NV",40.6,47.7,76,74.6,75.2,70.5,77.3,35.3,46.6,2.4,347
"NY",40.2,56.2,73.5,76.6,75.5,73,76.6,33.1,57.2,1.7,618
"OH",47.3,46.8,73.9,76.1,75.1,78.4,77.3,42.4,44.3,1.9,529
"OK",53.9,40.9,71.9,76.9,73.1,75.7,74.5,47.1,42.1,3.1,315
"OR",45,43,75.1,75.4,76.7,74.8,77.4,38.9,43.1,2.5,400
"PA",44.8,46.7,70.6,74.4,71.7,74.4,74.7,39,45.1,1.8,553
"RI",37.4,54.5,79.2,84,82.7,75.5,82.9,28.6,52.1,2.6,273
"SC",51.6,45,72.3,78,73.7,76.1,75.5,45.8,44.7,2.4,412
"SD",52.3,40.8,78.3,80,81,78.5,78.1,44.5,40.9,2.9,249
"TN",53.1,39.7,72.7,77,74.5,77.4,75.6,50.3,40.5,2.3,424
"TX",46.5,48.7,70.5,72.8,75.8,72.3,73.7,41.1,47.5,1.7,808
"UT",51.6,42.6,80.6,82,82.1,80.3,78.9,42.7,41.1,2.6,308
"VA",43.1,51,77.8,81.2,77.6,77.7,77.5,38.9,51,2,518
"VT",37.8,56.5,78.5,79.7,80.4,76.4,82.4,27,53.7,2.5,207
"WA",38.4,53.2,77.7,79.9,77.8,74.4,77.8,30,51,2.1,392
"WI",41.5,49.4,73.8,74.7,75.6,73.7,78.1,35.5,47.9,2,429
"WV",52.9,38.7,71.4,73.8,72.7,78.6,73.8,51.2,39.1,2.9,294
"WY",57.2,31.1,72.8,74.4,76,77.5,74.9,51.4,29.5,4,128
