Do you approve or disapprove of the way President Trump is handling the coronavirus (COVID-19) outbreak? 
"","Strongly disapprove","Disapprove","Neither approve nor disapprove","Approve","Strongly approve","Error Margin","N"
"National",34.5,14.9,16.7,17.6,16.5,0.8,22405
"AK",30,8,25.1,28,8.8,9.9,167
"AL",24.3,12.5,17.8,20.9,24.5,5.2,411
"AR",26.8,13.3,19.5,20.3,20.1,6.2,382
"AZ",34.4,16.8,13.9,20,14.9,5.1,594
"CA",40.5,18.7,15.5,12.7,12.6,4.2,844
"CO",37.9,14.8,16.5,15.6,15.3,5.7,481
"CT",40.9,16.1,17.1,14.4,11.6,5.9,416
"DC",42.3,16.2,17,12.5,11.9,6.5,302
"DE",34.3,16.8,21.2,17.2,10.4,6.1,353
"FL",35.1,12.9,12.4,19.1,20.5,4.2,845
"GA",31.5,14.1,12,17.4,25.1,5.2,497
"HI",39.1,16.8,21.2,14.5,8.3,6.1,450
"IA",37.3,14,19.9,18.2,10.6,6,414
"ID",26.1,12.6,25.4,21.8,14.1,5.6,355
"IL",38.6,17.6,15.5,14.8,13.4,4.7,552
"IN",31.7,16.4,15.1,20.6,16.3,5.4,488
"KS",28.4,15.7,19.8,20.4,15.6,5.9,375
"KY",23.5,12.2,17.1,23.1,24.1,5.1,443
"LA",26.3,9.6,15.2,25.6,23.2,6,398
"MA",44,18.4,13.4,16,8.2,5.3,466
"MD",40.5,16,14,17.6,11.9,5.3,456
"ME",37.1,16.1,13.5,17.7,15.6,5.9,377
"MI",44.6,15.7,13.3,13.6,12.8,5.4,462
"MN",37.9,14.6,14.8,20.9,11.7,5,492
"MO",27.8,14.2,16.1,26.4,15.4,4.9,482
"MS",27,10.5,14.6,26.4,21.4,6.2,342
"MT",29.1,10.8,19.6,20.9,19.6,6.3,295
"NC",37.8,12.3,15.1,14.6,20.2,4.9,538
"ND",22.6,12.7,13.1,26.6,25.1,8.2,190
"NE",29.6,15,14.9,21.8,18.7,5.7,380
"NH",44.6,12.4,13.4,17.2,12.3,5.8,368
"NJ",41.7,18.4,10.9,14,15,5,498
"NM",33,13.7,26.9,16.2,10.3,8.2,307
"NV",39.6,12,17.5,15.9,15,6.2,391
"NY",39.5,14.8,16.4,16.6,12.7,4.4,656
"OH",30.5,15.4,16.4,16.6,21.1,4.2,577
"OK",27.2,9,20.5,18.1,25.2,6.5,362
"OR",35.3,13.3,16.5,16.2,18.7,5.5,447
"PA",33.5,14.4,15.9,17.3,18.9,4.2,600
"RI",39.5,18.5,17.4,10.8,13.8,6.5,308
"SC",29.4,16.6,14.6,20.3,19.2,5.1,466
"SD",24.2,15.6,18.9,26.3,15,6.4,298
"TN",27.8,12.1,15.9,20.3,23.9,5,480
"TX",30.6,15.6,16.8,15.9,21.1,4,875
"UT",27.6,14.2,21.2,19.6,17.4,6,345
"VA",32.9,18.1,15.7,16.4,17,4.6,569
"VT",42,16.4,14.4,17.6,9.6,7.5,228
"WA",41,16.8,12.2,14.6,15.4,5.6,431
"WI",39.8,15.8,14.6,17.3,12.5,5.2,469
"WV",19.8,12.4,17.1,27,23.7,6.1,336
"WY",17.7,8.2,22.2,30,21.9,9,147
