In the last week, how closely did you personally follow the health recommendations listed below? - Wearing a face mask when outside of your home 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.8,5.2,16.9,73.2,0.9,18929
"AK",1.8,11,24.4,62.8,10.6,128
"AL",4.2,3.5,23.3,68.9,5.9,435
"AR",7,6,20.9,66.1,6.5,383
"AZ",3.8,2.7,16.3,77.2,6.4,330
"CA",1.6,4.1,13.3,80.9,4.7,543
"CO",6.5,7.1,12.1,74.3,6.1,364
"CT",0.3,4.1,12.4,83.2,4.7,401
"DC",1.4,1.7,17.4,79.5,5.8,272
"DE",0.6,1.8,8.1,89.5,5,278
"FL",1.8,4.1,15.9,78.2,4.6,490
"GA",6.5,5.3,21.3,66.9,5.5,430
"HI",1.6,3.3,14.5,80.6,5.9,290
"IA",8.6,8.6,27,55.8,6.2,403
"ID",12.2,11.6,21.6,54.6,6.4,347
"IL",1.9,2.9,18.1,77,5,470
"IN",10.3,9.5,17.2,62.9,6.7,319
"KS",5,7.1,18.6,69.4,5.9,365
"KY",5.5,6.6,20.3,67.6,5.9,386
"LA",6.4,3.4,13.9,76.3,5.8,404
"MA",2.4,3,14.5,80,4.9,362
"MD",1,2.3,11.4,85.3,4.1,459
"ME",6.6,9.1,18.7,65.7,6.3,312
"MI",3.1,3.8,16,77,5.5,362
"MN",5.6,10.1,24.4,59.9,6.2,380
"MO",8.9,9.2,21.2,60.7,6.2,354
"MS",3.8,3.8,18.2,74.2,6.1,373
"MT",13.2,7,20.6,59.2,6.8,290
"NC",4.2,5.5,12.7,77.6,4.8,427
"ND",8.8,20.9,25,45.3,8.7,208
"NE",12,8.3,25.5,54.2,6.5,334
"NH",3.7,5.3,17.1,73.8,5.7,313
"NJ",1.8,5.1,10.8,82.2,5.1,388
"NM",3.2,1.6,14.7,80.5,6.2,334
"NV",2.8,2.9,13.7,80.6,5.3,430
"NY",1.5,2.5,9.2,86.9,3.9,462
"OH",8.1,5.8,16.1,69.9,5,475
"OK",7.8,9.3,16.8,66.1,6.7,379
"OR",2.9,5.2,18.6,73.2,5.6,392
"PA",5.3,3.6,15.1,76,5.1,475
"RI",2,3.5,12.6,81.9,5.2,316
"SC",5.3,4.9,20.2,69.7,5.6,420
"SD",21.2,14.5,27.4,37,7.7,254
"TN",9,8.5,18.4,64.1,5.6,467
"TX",3.6,1.8,16.9,77.7,4.9,481
"UT",3.6,4,21.8,70.6,5.6,437
"VA",3.6,4.1,15.1,77.2,5.2,402
"VT",4.6,9.4,14.4,71.6,7.3,201
"WA",1,3.7,15.9,79.5,4.7,442
"WI",9.2,9.7,22.1,58.9,5.4,444
"WV",7.8,4.9,15.8,71.5,6.4,362
"WY",16.1,15.4,19.2,49.3,10,156
