How concerned, if at all, do you currently feel about the following: - Problems with working from home during the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",16.4,16.1,14.5,12.8,40.1,1,18951
"AK",15.1,23.1,11.3,12.5,38,10.7,128
"AL",19.4,14.7,8.1,12,45.9,6.4,436
"AR",18.2,12.5,13.4,9.8,46,6.9,385
"AZ",15.1,14.7,11.8,15.3,43.1,7.6,332
"CA",15.4,15.4,17.3,14,37.9,5.8,546
"CO",22.1,18.6,14.1,12.4,32.8,6.5,364
"CT",17.5,18.7,13.5,13.5,36.8,6.1,403
"DC",17.3,19.5,21.7,19.9,21.6,5.9,274
"DE",13.8,16.4,11.5,14.4,43.9,8,282
"FL",15.9,11.9,10.9,13.9,47.5,5.6,489
"GA",16.4,17.9,13.1,13,39.6,5.7,436
"HI",13.9,23.2,13.3,11.9,37.7,7.2,291
"IA",20.1,15.5,12.8,9.3,42.2,6.2,406
"ID",19.5,19.3,10.9,13,37.3,6.2,347
"IL",18.4,17.1,14.4,12.1,38,5.8,468
"IN",17.4,13.5,9.7,11.7,47.7,6.9,319
"KS",16.6,14.5,13.1,14.6,41.2,6.3,363
"KY",11.4,13.9,10.9,16.8,47.1,6.3,385
"LA",19.7,15.2,16.2,12.3,36.6,6.6,402
"MA",15,21.1,16.5,10.7,36.7,5.9,359
"MD",17.3,20.8,17.5,13.2,31.1,5.4,459
"ME",16.5,14.3,10.8,8.9,49.6,6.6,314
"MI",13.3,17.7,13.2,10.8,45.1,6.5,364
"MN",13.2,19.4,14.3,9.5,43.6,6.3,380
"MO",17.4,14.6,15.9,13.1,39,6.1,354
"MS",11.9,18.7,19.2,14.2,36,6.7,370
"MT",16.2,16.8,16,7.1,43.9,6.8,291
"NC",17.1,14.3,13.6,12.8,42.2,5.7,429
"ND",22.1,12.1,11.8,10.6,43.4,8.7,209
"NE",20.8,20.6,15.7,7.8,35.1,6.2,336
"NH",18.2,14.3,14.7,10.5,42.3,6.4,315
"NJ",14.1,10.5,13.6,17.8,44,6.6,387
"NM",15.4,15.8,18.6,11,39.1,7.7,333
"NV",15.5,16,13.1,13.6,41.8,6.6,429
"NY",13,14.9,13.7,17.2,41.1,5.7,462
"OH",16.2,10,12.1,11.4,50.2,5.5,474
"OK",17.4,15.8,15.4,14.5,36.8,6.9,378
"OR",20.5,11.9,16.5,9.9,41.1,6.2,395
"PA",17.5,16.4,11.3,11.6,43.2,5.9,477
"RI",17,15.9,15,8.7,43.3,6.7,316
"SC",14.3,18.2,14.3,13.7,39.5,6,420
"SD",24.1,13.8,13.2,6.6,42.3,7.9,253
"TN",16.1,13.1,13.1,14.5,43.3,5.8,466
"TX",12.3,18.5,13.1,19.9,36.2,5.7,483
"UT",23.2,16.6,20.8,10.8,28.7,5.6,439
"VA",16.4,15.6,17.7,10.1,40.1,6.1,399
"VT",19.7,14.8,15.3,5.4,44.8,8.1,202
"WA",14.9,14.4,16.4,15,39.2,5.7,443
"WI",15.6,14.2,13.8,7.9,48.6,5.5,444
"WV",18.7,13.3,8.8,11.2,48,7.1,358
"WY",19.8,17.5,12.1,5.9,44.7,9.9,157
