How often do you talk to people about the current coronavirus (COVID-19) outbreak, either in person, over the phone, or electronically? 
"","Never","Less than once a week","Once a week","A few times a week","Daily","A few times a day","Error Margin","N"
"National",5.2,11.2,7.8,30.1,29.8,16,0.9,7030
"AK",0,9.4,5.8,27.9,49.8,7.1,22.5,27
"AL",3.5,10,10.1,27.4,33.1,15.8,12.5,104
"AR",4.7,18.3,3.1,22.4,24.6,26.9,13.9,77
"AZ",4.1,15.9,2.1,33.1,24.5,20.3,10.8,144
"CA",4.5,14,5.7,28.6,31,16.2,7.3,308
"CO",10.1,13.3,3.6,32.3,24.5,16.1,10,149
"CT",1.1,10.5,8.8,27.6,26.9,25,9.2,150
"DC",4.2,7.1,3.5,22.9,35.5,26.8,11.6,94
"DE",1.4,8.4,11.1,27.1,26.8,25.2,11,109
"FL",2.6,9.6,6.7,25.8,35.3,19.9,7.3,256
"GA",5.1,7,14.1,27.1,31.2,15.5,8.7,161
"HI",12,21,7.7,18.7,29.8,10.8,11.6,99
"IA",3.3,20.1,16.3,27.4,25.9,7,12.7,80
"ID",8.7,13,4.8,44,24.7,4.8,11.5,102
"IL",7.2,8.1,5.6,22.9,33,23.1,8.9,184
"IN",9.6,12.5,6.8,26.1,28,16.9,8.9,156
"KS",6,12,10.4,34.6,21.2,15.7,11,117
"KY",9.3,6.4,6.8,34.3,28.9,14.3,9.5,154
"LA",5.5,8.7,5.2,32,35.2,13.4,11.7,122
"MA",5.7,3.7,10.5,31.1,36.5,12.5,10.6,110
"MD",5.3,7.2,9.1,42.4,26.6,9.4,8.8,197
"ME",3.7,12.3,10.3,33.4,23.3,17,9.4,134
"MI",4.2,13.4,11.5,30.7,26.1,14.1,9.5,142
"MN",4,8.9,12.9,34.7,26,13.5,9.7,140
"MO",5.9,13.7,6.7,31.5,30.8,11.5,8.6,166
"MS",6.8,12.3,2,30.6,30.1,18.2,11.7,114
"MT",3.5,10,5.3,34.2,28.4,18.5,14.8,59
"NC",2.8,10.7,9.9,33.1,28.8,14.7,9.5,143
"ND",6.7,11.4,4.7,41.1,30.6,5.5,15.7,60
"NE",9.4,9.3,10.5,38.7,18.8,13.3,11,110
"NH",1.6,11,12.5,33,25,16.9,10,116
"NJ",6.2,7.5,7.3,34.4,30.4,14.1,9.3,177
"NM",4.4,5.7,5.8,37.7,31.5,14.9,13.8,88
"NV",7,4.3,12,22.9,36.8,17,12.1,133
"NY",5.3,10.8,8,23.7,35.6,16.6,7.1,279
"OH",7.3,17.6,9.3,27.9,21,16.8,7.6,198
"OK",9.1,16.7,5.4,32,23.7,13.1,10.6,135
"OR",5.1,9.3,6.2,30.7,39.1,9.7,10.1,146
"PA",5,14.5,10.4,38.3,22.2,9.6,9.2,180
"RI",2.6,4.2,10.3,32.5,31.3,19.2,11.4,93
"SC",3.9,12.4,10.1,28.9,27.1,17.6,10.6,114
"SD",2.6,9.6,16.2,31.2,24.9,15.4,13.6,74
"TN",8.6,9.4,5.5,29,29.4,18,8.1,209
"TX",5.2,12.3,8,27.3,29.4,17.9,7.5,233
"UT",3.8,2.3,3.5,22.7,39.9,27.8,14.1,79
"VA",7.3,11.1,11.4,30.7,23.9,15.7,10.6,114
"VT",0,15.1,6.9,27.6,38.7,11.7,15.3,52
"WA",2.2,10.4,8.6,31.2,31.6,16,8.1,198
"WI",5.2,13.6,8.3,35.1,25.7,12,7.6,216
"WV",9.8,12.9,1.1,31.4,33,11.8,9.3,194
"WY",5,14.2,5.1,31.3,22,22.4,18.9,34
