I feel well-informed about steps I can take to protect myself from the virus. 
"","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Error Margin","N"
"National",0.8,1.7,8.2,41.3,48,1,3466
"AK",0,0,0,62.5,37.5,44.9,6
"AL",1.8,0,8.7,57.7,31.8,16,65
"AR",0,1.7,6.8,47.6,43.9,19.9,47
"AZ",1.8,0,7.6,37.3,53.4,17.2,68
"CA",0.8,0.6,6.7,38.1,53.8,10.1,189
"CO",1,2.3,11.7,32.2,53,13.6,84
"CT",0,0,8.1,32.1,59.9,15.5,62
"DC",0,5.8,7.9,23.8,62.5,16.5,47
"DE",0,2.1,6.5,53.3,38.1,19.9,42
"FL",0.7,2,8.6,41.3,47.4,10.2,134
"GA",0,0.8,7.4,37.2,54.6,12.3,89
"HI",0,0,5.8,45.7,48.5,20.5,37
"IA",0.8,0,16.6,45.6,36.9,18.3,47
"ID",0,3.7,11.7,42.1,42.5,16.8,46
"IL",0.5,1.3,11.4,41.9,44.8,12,105
"IN",0.9,0,15.5,40.6,43,14.4,70
"KS",0,0,9.4,53.4,37.2,16,58
"KY",3.2,1.2,5.3,40.9,49.4,13.9,80
"LA",2.1,0,17.3,35.4,45.2,17.1,59
"MA",1.8,0,5.7,36.6,56,15.3,52
"MD",3.9,2.6,6.7,44,42.8,12.7,94
"ME",0,6,7.5,44.4,42.1,14.8,56
"MI",0,0,5.2,42.5,52.4,15.2,67
"MN",0,3.8,2.5,47.9,45.8,12.7,81
"MO",0,6.6,10.7,40.9,41.8,13.8,67
"MS",0,1,18.4,31.6,49.1,22.3,35
"MT",0,0,8.3,31.5,60.2,22.4,27
"NC",0,0,9.1,34.9,55.9,14.4,68
"ND",1.2,0,11.7,53.8,33.4,22.9,28
"NE",5,5.5,8.7,40.2,40.6,16.7,47
"NH",0,0,9.7,25.2,65.1,15.9,47
"NJ",0,5.9,5.1,46.5,42.5,13.5,87
"NM",0,0,24.4,58.6,17.1,22.9,23
"NV",0,7.4,5.1,35,52.5,15.8,70
"NY",0,1.2,7.2,35.6,56,9,172
"OH",1,0,11.9,33.8,53.2,12,102
"OK",0.7,0.8,4.5,44,50.1,17.2,58
"OR",0.7,1.1,8.1,32.5,57.6,13.7,78
"PA",0,7.7,12.2,49.8,30.3,12,102
"RI",0,0,0,56.6,43.4,18.9,36
"SC",1.4,0.5,9.4,38,50.7,16.5,56
"SD",0,0,0.8,55.4,43.8,21.4,35
"TN",0.4,1.6,9.4,49,39.5,13.5,90
"TX",0.4,0.8,9.9,36.6,52.4,9.8,140
"UT",0,1.1,1.6,45.9,51.5,20.9,34
"VA",0,0,1.8,49.9,48.2,15.5,63
"VT",2.4,0,0,25.4,72.2,23.8,21
"WA",3.4,0.8,9.2,43.2,43.4,12,97
"WI",0,3.4,13.3,35,48.3,10.7,117
"WV",2,6.1,5.2,40.7,46,17.9,60
"WY",0,6.3,0,20.6,73.2,21.8,21
