In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","CNN","Fox News","MSNBC","President Trump’s press briefings","Error Margin","N"
"National",37.5,37,19,6.5,0,1183
"AK",33.4,26.9,24.5,2.9,10,128
"AL",36.4,41.7,19.1,11.5,6.3,436
"AR",31.5,39,16.4,14.3,6.7,387
"AZ",29.4,48,15.5,6,7.7,332
"CA",41.1,39.5,21.9,2.8,5.9,547
"CO",34.8,32.5,20.6,6.6,6.5,365
"CT",45,33.3,23.3,4.3,6.2,406
"DC",59.3,46.3,27,7,7.1,276
"DE",44.9,42.2,20,10.8,8.2,285
"FL",37.6,40.9,18.7,3,5.6,490
"GA",43.6,43.9,20.8,6.2,5.8,437
"HI",37.9,33.9,17.2,3,7.2,291
"IA",27.4,26.9,14.6,6.9,5.5,412
"ID",28.3,30.5,17.8,5.8,6,350
"IL",43,38.8,18.1,6.4,6,470
"IN",39.8,34.6,19,2.9,6.8,319
"KS",38.7,39.3,17.9,9.7,6.3,365
"KY",33.7,31.3,17.3,7.5,6,392
"LA",35.2,39.8,17.7,14.7,6.7,404
"MA",38.5,34.6,18.7,7.4,5.9,363
"MD",43.7,35.3,23,3.7,5.8,462
"ME",33,29.9,18.7,12.8,6.1,315
"MI",37,36.2,16,6.1,6.3,366
"MN",30.7,31.3,14.8,9.4,6,382
"MO",27.7,39.3,18.1,4.6,6.2,358
"MS",33,33.8,13.6,4.7,6.6,374
"MT",26.1,31.8,17.5,4.8,6.5,292
"NC",36.5,39.1,14,9.1,5.6,429
"ND",24.9,23,14.9,11,7.2,209
"NE",34.7,33.4,13.4,6.2,6.3,336
"NH",34.6,30.8,17.8,9.3,6.2,315
"NJ",43.6,29.4,17.2,4.9,6.6,391
"NM",39.3,34.4,21,2.4,7.7,335
"NV",33.5,43.9,19.9,7.9,6.6,433
"NY",50.1,41,22,1.3,5.7,465
"OH",33.5,37.7,19.3,7.7,5.3,479
"OK",30.2,35,13.8,7.4,6.8,382
"OR",30.8,31.8,14.6,7.5,5.9,397
"PA",35.7,31.5,19.4,7.2,5.6,478
"RI",41.2,31.4,24.2,2.6,6.7,321
"SC",32.4,42.9,15.2,8,6.1,421
"SD",29.6,33,17.5,11.2,7.6,256
"TN",34.5,39.3,12.4,4.7,5.8,468
"TX",40.5,36.1,17.9,3.7,5.8,484
"UT",34.8,39.2,16.5,5.2,6,441
"VA",40.7,39.5,22.4,6.9,6.1,402
"VT",32.2,24,17.9,12.9,7.3,202
"WA",37.9,36.8,21.4,5,5.7,445
"WI",30,30.3,17.3,5.1,5.1,445
"WV",33.7,37.4,14.8,5.1,6.7,363
"WY",17,37.2,13.9,7.2,9.8,157
