Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people across the country 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",62.8,21.2,16,0.9,2338
"AK",62.3,16.9,20.8,30.7,17
"AL",60.2,29.8,9.9,20.7,51
"AR",56.2,26,17.7,19.1,45
"AZ",48,32.2,19.8,20.7,40
"CA",49,23.7,27.3,18.6,57
"CO",61.2,20.8,18.1,19.7,44
"CT",81,17.3,1.6,16.1,39
"DC",75.2,21.2,3.6,18.2,31
"DE",81.8,9.2,9,16.3,42
"FL",51.8,32.1,16.2,15.3,62
"GA",60.6,28.8,10.6,17.2,47
"HI",62.2,18.2,19.6,19.3,39
"IA",39.8,29.2,30.9,18.6,47
"ID",55.7,17.5,26.8,18.2,42
"IL",52.6,28.3,19.1,14.4,65
"IN",84.5,8,7.5,13.4,42
"KS",63.8,12.8,23.3,18,40
"KY",68.1,12.2,19.7,17.3,43
"LA",65.7,14.9,19.4,17.4,50
"MA",85.3,8.4,6.3,12.3,41
"MD",61.6,20.6,17.8,17,53
"ME",51.1,32.1,16.8,18.2,36
"MI",71.2,22.9,5.9,19,38
"MN",57.4,15.3,27.3,19.8,42
"MO",61.6,18.9,19.5,16.1,47
"MS",66.8,29.4,3.7,17.5,50
"MT",52.5,15.1,32.4,18.7,38
"NC",57,20.9,22,15.8,53
"ND",68.1,12.8,19.1,21,29
"NE",52.9,20.8,26.3,16.2,54
"NH",70.2,16.8,13,15.8,43
"NJ",62.1,27.7,10.2,17.4,51
"NM",56.8,26.6,16.6,19.7,43
"NV",54.8,31,14.2,21,51
"NY",53.1,33.7,13.2,16.4,55
"OH",66.7,15.4,17.9,14.5,60
"OK",62,21.7,16.2,17.5,50
"OR",65.6,17.8,16.7,19.8,37
"PA",62.9,21.2,15.9,17.9,54
"RI",74.1,16.4,9.6,16.3,40
"SC",49.4,25.1,25.5,15.3,65
"SD",29.9,35.8,34.3,21.4,28
"TN",58.5,7.9,33.5,17.6,51
"TX",70,17,13,14.8,67
"UT",70.5,10.1,19.4,16.4,51
"VA",51.5,29,19.4,17.9,48
"VT",62.6,34.7,2.6,20.1,30
"WA",54.1,28.9,17,15.6,60
"WI",73.9,12.3,13.8,12.4,62
"WV",62.3,22.8,14.9,18.3,52
"WY",53.1,22.8,24.1,31.3,16
