Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Asking people to stay at home and avoid gathering in groups 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.2,7.3,22.4,66.1,0.9,18967
"AK",3.4,13.2,22.9,60.6,10.8,127
"AL",4,10,22.1,64,6.1,434
"AR",6.9,7.5,25.1,60.5,6.7,386
"AZ",5.3,7.5,24,63.2,7.3,330
"CA",7.1,4.6,15.7,72.6,5.3,544
"CO",7.3,6.7,22,64,6.7,365
"CT",1.4,6.2,18.1,74.3,5.5,404
"DC",0.9,3.7,15.2,80.2,5.7,273
"DE",2.5,6.2,17.8,73.5,7.1,282
"FL",1.6,8.2,22.2,68,5.3,487
"GA",4.1,9.8,19.8,66.3,5.5,430
"HI",1.7,4.3,19.8,74.1,6.6,290
"IA",6.1,6.6,29.4,57.8,6.1,408
"ID",6.8,13.8,27.8,51.7,6.4,350
"IL",1.7,7.5,22.6,68.2,5.6,467
"IN",4.8,10.5,22.7,61.9,6.7,318
"KS",3.4,11.3,24.4,60.8,6.2,363
"KY",3.9,7.1,25.4,63.6,6.1,383
"LA",5.5,8.6,22.6,63.3,6.6,403
"MA",3.9,6.4,25.3,64.5,5.9,362
"MD",1.9,4.5,19.7,74,5.1,462
"ME",4.9,4.4,24.2,66.5,6.2,312
"MI",2.8,8.4,19.6,69.1,6,365
"MN",5.6,10.2,24.3,59.9,6.2,382
"MO",6.3,10.4,22.8,60.5,6.1,357
"MS",3.1,5.1,23.6,68.2,6.5,374
"MT",9.2,9.2,27.3,54.3,6.8,292
"NC",4.4,7,20.6,68.1,5.4,429
"ND",4.5,12.2,34.3,49,8.8,208
"NE",6.4,13,27.4,53.2,6.6,333
"NH",4,7.8,22,66.3,6.2,314
"NJ",2.4,7.1,21.8,68.7,6.2,390
"NM",5.5,4.8,26.2,63.5,7.6,333
"NV",7.1,9.4,22,61.5,6.5,432
"NY",2.5,3.3,18.9,75.3,5,464
"OH",3.6,8.9,25.2,62.2,5.3,476
"OK",3.8,4.8,32.3,59.1,7,379
"OR",7,12.6,17.9,62.5,6.1,394
"PA",4.4,11.8,25.2,58.6,5.9,475
"RI",4.7,4.2,22.5,68.6,6.3,319
"SC",4.5,6,22.3,67.2,5.7,421
"SD",14.7,12.6,30.2,42.5,7.8,256
"TN",6.4,6.9,23.7,63.1,5.7,467
"TX",4,5.3,20.6,70.1,5.4,482
"UT",4.5,8.3,28.6,58.6,6.1,437
"VA",2.4,5.6,23.4,68.6,5.8,402
"VT",3.7,7.7,23.2,65.4,7.7,201
"WA",3.1,6.2,24.2,66.5,5.5,443
"WI",5.3,6.9,28.9,58.9,5.4,445
"WV",3.1,7.9,31.4,57.5,7,360
"WY",6.5,12.9,35.9,44.7,9.9,157
