Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Cancelling major sports and entertainment events 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.9,9.3,20.4,65.4,0.9,18972
"AK",4.5,11.8,27.4,56.3,10.9,128
"AL",4.3,10.2,19.3,66.2,6.1,434
"AR",7.2,7.8,23.2,61.8,6.7,385
"AZ",6,8.1,21.9,64,7.3,332
"CA",5.7,10.1,14.2,70,5.5,543
"CO",7.7,9.9,22.6,59.7,6.8,364
"CT",0.9,9.5,20.3,69.2,5.8,403
"DC",1.4,1.9,22.6,74,6.3,273
"DE",2.5,10.8,13.8,72.9,7.2,282
"FL",3.8,11.4,20.1,64.7,5.4,486
"GA",4.8,10.6,22.5,62.1,5.6,435
"HI",3.4,4,18.8,73.7,6.6,290
"IA",4.8,13.4,18.6,63.2,6,408
"ID",5.5,12.4,22.9,59.2,6.3,350
"IL",3.4,6.6,23.3,66.7,5.6,469
"IN",4.6,14.6,21.9,58.9,6.8,317
"KS",3.7,10.3,19.7,66.3,6,365
"KY",4.1,10,19.2,66.8,5.9,386
"LA",6.1,9.7,17.6,66.7,6.5,402
"MA",4.6,7.6,23.3,64.5,5.8,363
"MD",2.7,7.4,20.2,69.7,5.4,460
"ME",4,7,20.6,68.3,6.1,313
"MI",3.7,6.8,19.9,69.5,6,364
"MN",5.4,11,24.9,58.7,6.2,382
"MO",4.8,11.1,24,60.1,6.1,357
"MS",3.3,7.9,20.3,68.5,6.4,374
"MT",7.2,11.4,26.4,55.1,6.8,292
"NC",6.2,8.8,18.8,66.1,5.5,427
"ND",10.3,13.2,26.4,50.1,8.8,207
"NE",8.4,12.9,29.4,49.4,6.6,334
"NH",5.6,7.4,18.2,68.9,6.1,313
"NJ",4.6,7.5,16.6,71.2,6,389
"NM",4.4,8.4,24.7,62.4,7.6,334
"NV",11.1,9,20.9,59.1,6.6,428
"NY",2.4,5.3,16.6,75.6,4.9,465
"OH",4,10.8,22.7,62.5,5.3,477
"OK",3.7,10.6,22.7,62.9,6.8,382
"OR",6.9,14.3,16.9,61.8,6.1,393
"PA",7.3,11.1,19.9,61.7,5.8,474
"RI",5.5,7.4,16.1,71.1,6.1,320
"SC",5.6,9.6,21.5,63.3,5.9,421
"SD",10.9,18.2,29.2,41.7,7.8,256
"TN",6.9,8,19.5,65.7,5.6,467
"TX",6.1,9.2,19.8,65,5.7,482
"UT",5.1,11.8,21.1,62.1,6,438
"VA",5.4,6.8,21.1,66.7,5.9,402
"VT",5.4,9.2,13.3,72.1,7.3,201
"WA",2,7.7,21.3,69,5.4,445
"WI",5.3,8.8,22.5,63.4,5.3,443
"WV",5,9.4,21.7,63.9,6.8,360
"WY",12.4,19.9,16.6,51.1,9.9,157
