Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting travel within the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",7.9,14,32.7,45.4,1,18930
"AK",9.3,20.2,38.2,32.4,10.8,126
"AL",6.5,17.6,29.5,46.5,6.4,430
"AR",10.9,13.6,33,42.5,6.8,385
"AZ",13.3,10.9,33.3,42.5,7.6,330
"CA",8.8,9.5,32.2,49.4,5.9,543
"CO",10.7,19.5,28.4,41.5,6.8,364
"CT",2.8,13.2,30.1,53.9,6.3,398
"DC",2.8,11.6,32.4,53.3,7.2,274
"DE",3.7,11.5,29.5,55.3,8,283
"FL",4.8,15.4,33,46.8,5.6,489
"GA",7.5,14.5,31.2,46.9,5.8,433
"HI",6,11.1,25.7,57.3,7.4,291
"IA",7.8,18.7,32.1,41.4,6.1,408
"ID",12.9,17.1,33.8,36.2,6.1,347
"IL",3.4,14.1,33.4,49.1,6,467
"IN",7.4,17.4,34.8,40.4,6.8,317
"KS",8.2,18.5,32,41.2,6.3,364
"KY",10.1,14.2,28.9,46.8,6.3,385
"LA",9.6,12.1,29.2,49.1,6.9,401
"MA",8.3,13.1,35,43.7,6.1,363
"MD",5.8,13.4,35.2,45.6,5.8,461
"ME",8,10.2,41.3,40.6,6.5,312
"MI",8,14.2,30.8,47,6.5,363
"MN",8.9,20.5,31,39.6,6.2,382
"MO",8.4,22.6,27.3,41.7,6.2,354
"MS",7.7,15.7,34.6,42,6.9,371
"MT",15.3,15.6,29.2,39.9,6.7,290
"NC",8.9,14.5,28.2,48.4,5.8,428
"ND",10.8,18.5,40.8,29.9,8.6,208
"NE",14.1,18,35.2,32.7,6.3,334
"NH",5.8,13,36.6,44.5,6.5,314
"NJ",7.1,9,35.1,48.8,6.7,387
"NM",9.6,11.9,34.9,43.6,7.8,334
"NV",12,15.6,28.2,44.3,6.6,429
"NY",5.4,6.7,30.5,57.5,5.7,461
"OH",6.3,11.9,32.9,48.9,5.5,475
"OK",12.1,16.1,30.1,41.7,7,381
"OR",10.1,17.6,35.2,37.1,6.1,395
"PA",8.7,12.2,34.6,44.5,6,477
"RI",4.2,13.2,32.8,49.8,6.7,320
"SC",5.6,19,33.3,42.1,6.1,419
"SD",20.3,21.1,38.5,20.1,7.7,255
"TN",14.6,11.6,32,41.8,5.8,466
"TX",7.7,12.1,36.4,43.8,5.9,478
"UT",10.1,21.6,32.5,35.8,5.9,436
"VA",5.6,19.3,29.4,45.7,6.2,401
"VT",5.2,9.4,34.5,51,8.1,201
"WA",5.3,14.3,36.5,43.8,5.8,441
"WI",8.9,13.3,36,41.8,5.4,445
"WV",4.8,20.1,27.2,47.9,7.1,358
"WY",14.7,23,30.9,31.4,9.3,156
