Education recoded for weighing 
"","Some high school","High School Graduate","Some College","Bachelor Degree","Graduate Degree","Error Margin","N"
"National",8.8,27.8,31.8,19.8,11.9,0.9,19058
"AK",5.9,28.1,37.3,18,10.8,10.6,128
"AL",12.4,30.9,32.2,15.7,8.8,6,436
"AR",11.5,34.3,32.1,14.3,7.8,6.5,387
"AZ",10,24.7,36,18.9,10.4,7.3,332
"CA",7.8,22.1,33.3,23.6,13.3,5.6,547
"CO",5.9,21,32.2,26.1,14.8,6.5,365
"CT",8.6,26,27.6,21.8,16.1,5.6,406
"DC",4.6,18.7,18.3,26.4,32,6.7,276
"DE",7,31.9,29.5,18.8,12.7,7.5,285
"FL",3.9,30.2,32.7,21.1,12.1,5.3,490
"GA",11.1,27.9,30.7,19.1,11.2,5.3,437
"HI",5.7,24.9,35.4,22.6,11.5,7.2,291
"IA",7.5,29.7,35.2,19.2,8.3,5.9,412
"ID",9.2,27.4,37.5,17.8,8.2,6.2,350
"IL",8.4,26.6,30.9,21.2,12.9,5.5,470
"IN",6.6,33.9,32.4,17.8,9.4,6.5,319
"KS",6.1,26.4,35.2,20.6,11.7,6.1,365
"KY",10.2,34.4,31.3,14.7,9.4,5.9,392
"LA",12.6,33.1,29.9,16.4,8,6.4,404
"MA",5.3,23.9,26.4,25.3,19,5.4,363
"MD",5.2,24.8,28.5,23,18.5,5.3,462
"ME",5,32,32.3,19.9,10.7,6.2,315
"MI",5.9,29.9,35,18.2,11,6.2,366
"MN",5.8,24.8,34.4,23.5,11.4,6,382
"MO",5.7,31.7,33.6,18,11,5.9,358
"MS",11.1,29.7,35.6,15.1,8.5,6.6,374
"MT",7.1,27.3,35.8,20,9.8,6.6,292
"NC",5,27.4,35,21.3,11.2,5.5,429
"ND",7.6,25.5,39.2,21,6.7,8.5,209
"NE",5.5,26,36.8,21.3,10.4,6.3,336
"NH",4.8,28.9,30.9,22.1,13.2,6,315
"NJ",4.5,27.2,26.1,26.2,16,5.9,391
"NM",8.6,25.9,36.7,16.8,12,7.6,335
"NV",10.1,28.2,36,16.5,9.3,6.4,433
"NY",7.5,27.1,27.2,21.9,16.2,5.1,465
"OH",8.6,32.4,31.3,17.5,10.2,5.1,479
"OK",11,31.5,33.3,16.2,8,6.6,382
"OR",6,24.5,36.5,20.7,12.3,6,397
"PA",7.2,35.6,26.8,18.2,12.2,5.7,478
"RI",8.3,29.6,29.3,19.9,12.9,6.1,321
"SC",7.2,31,33.5,18.3,10,5.8,421
"SD",8.7,30.9,33,19.4,8,7.4,256
"TN",9.8,32.5,31.3,17,9.5,5.5,468
"TX",8.9,27.4,32.6,20.3,10.7,5.5,484
"UT",4.5,24.4,38.9,21.6,10.5,6,441
"VA",7.3,25.4,29.7,21.3,16.4,5.7,402
"VT",6,28.2,29.2,22.7,13.9,7.4,202
"WA",7.8,23,33.6,22.7,13,5.5,445
"WI",3.7,31.8,34.4,20.2,10,5.2,445
"WV",9.9,39.7,29.6,13,7.9,6.9,363
"WY",5.7,27.2,40.2,17.4,9.4,9.8,157
