Gender recoded 
"","Male","Female","Error Margin","N"
"National",46.7,53.3,1,19058
"AK",48.3,51.7,11,128
"AL",45.6,54.4,6.4,436
"AR",46.6,53.4,6.9,387
"AZ",48,52,7.6,332
"CA",45.6,54.4,5.9,547
"CO",48.8,51.2,6.9,365
"CT",46.9,53.1,6.3,406
"DC",48,52,7.1,276
"DE",47.2,52.8,8,285
"FL",50.7,49.3,5.6,490
"GA",45.2,54.8,5.8,437
"HI",46.1,53.9,7.5,291
"IA",47.8,52.2,6.2,412
"ID",47.5,52.5,6.4,350
"IL",47.1,52.9,6,470
"IN",46.6,53.4,6.9,319
"KS",47.7,52.3,6.4,365
"KY",45.8,54.2,6.2,392
"LA",45.4,54.6,6.8,404
"MA",44.9,55.1,6.1,363
"MD",45.5,54.5,5.8,462
"ME",45.7,54.3,6.6,315
"MI",46.2,53.8,6.5,366
"MN",47.8,52.2,6.3,382
"MO",45.8,54.2,6.2,358
"MS",42.2,57.8,6.8,374
"MT",47.7,52.3,6.8,292
"NC",44,56,5.7,429
"ND",51.4,48.6,8.7,209
"NE",46.1,53.9,6.5,336
"NH",47.6,52.4,6.5,315
"NJ",43.9,56.1,6.6,391
"NM",43.6,56.4,7.8,335
"NV",43.7,56.3,6.6,433
"NY",45.9,54.1,5.7,465
"OH",48.2,51.8,5.4,479
"OK",47.1,52.9,7,382
"OR",45.1,54.9,6.2,397
"PA",47.2,52.8,6,478
"RI",46.2,53.8,6.7,321
"SC",43.9,56.1,6.1,421
"SD",48.9,51.1,7.9,256
"TN",46,54,5.9,468
"TX",44.6,55.4,5.9,484
"UT",49.1,50.9,6.1,441
"VA",46.9,53.1,6.2,402
"VT",47.1,52.9,8.1,202
"WA",46.9,53.1,5.8,445
"WI",45.2,54.8,5.5,445
"WV",46.4,53.6,7,363
"WY",46.2,53.8,9.9,157
