How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your city government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",8.7,19.5,49.8,22,1,18991
"AK",9.7,15.4,60.7,14.2,10.7,128
"AL",11.2,21.4,49.2,18.2,6.4,435
"AR",8.8,26.3,50.4,14.5,6.9,385
"AZ",10,27.8,45.9,16.3,7.6,331
"CA",7.4,18.6,49.3,24.7,5.9,545
"CO",11,18.2,47.1,23.8,6.9,365
"CT",6.5,15.7,49.5,28.3,6.3,404
"DC",4.5,10.6,47.1,37.8,7.2,275
"DE",7.1,21.6,47.3,24,8,283
"FL",8.5,20.4,51.1,20.1,5.6,488
"GA",12.6,21.1,46.8,19.5,5.8,432
"HI",9.4,18.3,54.2,18,7.5,291
"IA",11.3,23,51.5,14.2,6.2,407
"ID",7,22.7,53.5,16.9,6.4,350
"IL",4.7,18,50.7,26.6,6,470
"IN",11.1,18.9,52,18,6.9,319
"KS",9.5,19.1,51,20.4,6.4,364
"KY",8,19.6,50.4,22,6.3,386
"LA",8.9,24.5,46.1,20.5,6.8,403
"MA",4.1,11.5,52,32.4,6.1,362
"MD",4.2,13.9,51.6,30.3,5.8,461
"ME",7.2,18.9,52.5,21.5,6.6,312
"MI",3.6,21.2,56.8,18.4,6.5,365
"MN",6.8,18.9,54.6,19.7,6.3,380
"MO",8.8,27.6,47.8,15.8,6.3,356
"MS",9.7,20.3,52.9,17.1,6.9,374
"MT",6.5,19.9,57.1,16.5,6.8,292
"NC",9.8,17.9,54,18.3,5.8,428
"ND",7,21.9,57,14.1,8.7,208
"NE",7.5,22.4,53.9,16.2,6.5,335
"NH",7.6,15.3,55.5,21.5,6.5,315
"NJ",6,15.9,43.8,34.3,6.6,389
"NM",8.8,24,47.6,19.6,7.9,334
"NV",11.3,23.3,50.2,15.2,6.7,432
"NY",7.5,12.3,49.8,30.4,5.8,460
"OH",7.5,19.7,47.8,25,5.4,478
"OK",16.6,28,41.7,13.7,7,381
"OR",10.6,22.8,49,17.6,6.3,397
"PA",9.7,17.5,52.8,20,6,477
"RI",6.9,14.3,53.6,25.2,6.7,319
"SC",10.2,24.4,46.1,19.4,6.1,420
"SD",12.2,13.3,46.5,28,7.9,256
"TN",11.8,21.6,47.6,19,5.9,464
"TX",8.8,20.4,45.9,24.9,5.9,483
"UT",6.9,23.4,55.6,14.1,6.1,441
"VA",9.4,18.5,49.2,22.9,6.2,401
"VT",4.9,12.9,58.1,24.1,8,202
"WA",7,20.1,47.6,25.2,5.8,443
"WI",9.7,22.1,49.7,18.5,5.5,445
"WV",11.3,26.7,47,15,7,363
"WY",10.5,17.6,56.4,15.5,9.9,157
