How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your state government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",11.3,19.1,43.7,25.9,1,18978
"AK",5.3,29.3,51.4,14,11,128
"AL",13,22.1,49,15.9,6.4,436
"AR",10.7,25,46.4,17.9,6.9,386
"AZ",17.3,30.8,39.9,12,7.5,331
"CA",11.4,14,44.8,29.9,5.9,546
"CO",11.4,14.8,48.2,25.6,6.9,365
"CT",5.4,17.1,38.9,38.6,6.1,402
"DC",5.2,10.8,51.5,32.5,7.2,275
"DE",6.6,17.5,46.4,29.6,8,285
"FL",17.2,24,41.3,17.4,5.5,488
"GA",18.2,25.9,39.4,16.6,5.7,432
"HI",12.6,17.4,48.6,21.5,7.5,289
"IA",21.5,30.1,36.1,12.2,6,407
"ID",8.4,21.9,54.7,14.9,6.3,350
"IL",9.4,18.8,40.2,31.6,5.9,469
"IN",10.4,16.7,48.7,24.2,6.9,318
"KS",10.4,16.7,50.6,22.3,6.4,364
"KY",13.7,15.3,40.9,30,6.2,387
"LA",10.6,20.4,40.9,28.1,6.7,403
"MA",6.2,10.9,40.2,42.7,6.1,362
"MD",4.5,9.3,43.6,42.5,5.8,462
"ME",9.3,17,41.9,31.8,6.5,313
"MI",8.4,13.6,35.7,42.3,6.5,364
"MN",11.1,18.7,43.2,27,6.3,379
"MO",13.4,30,46,10.6,6.2,357
"MS",11.7,20.6,51.1,16.5,6.9,374
"MT",7.2,15.5,51.9,25.4,6.9,291
"NC",12.3,20.2,45.2,22.2,5.8,426
"ND",5.9,25.7,46.8,21.7,8.8,207
"NE",9.6,22.9,48.6,19,6.6,332
"NH",6.8,14,49.5,29.6,6.5,315
"NJ",9.7,18.2,37.8,34.3,6.5,388
"NM",14.4,18.9,30.2,36.5,7.6,334
"NV",13.8,21.1,38.2,26.9,6.5,432
"NY",7.4,9.8,36.3,46.5,5.8,462
"OH",6.8,17,45.7,30.5,5.4,476
"OK",18,27.4,41.8,12.9,7,380
"OR",17.9,20.2,38.5,23.4,6.1,394
"PA",13.7,17.7,42,26.6,5.9,478
"RI",7.1,11.4,41.4,40.2,6.6,320
"SC",11.8,27.4,42.3,18.5,6,419
"SD",13.7,16.7,37.3,32.3,7.7,255
"TN",16,21.9,42.4,19.6,5.8,465
"TX",12.2,25.4,46.5,15.9,5.9,480
"UT",9.1,23,52.9,14.9,6.1,441
"VA",13.7,14.9,41.5,29.9,6.1,401
"VT",5.7,6.5,47.8,39.9,8.1,202
"WA",12.2,14.6,39.2,34,5.7,445
"WI",11.2,23.6,50.9,14.3,5.5,443
"WV",11.5,17.9,51,19.6,7.1,363
"WY",8.7,21,53.6,16.7,9.9,157
