How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Hospitals and doctors 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",2,4.3,29.1,64.6,0.9,18985
"AK",0,4.1,32.6,63.3,10.6,128
"AL",2.8,7.6,29.7,59.8,6.3,436
"AR",4.6,2.8,39.4,53.2,6.9,385
"AZ",0.3,4.4,31.9,63.4,7.4,332
"CA",2,5.1,27.5,65.3,5.6,547
"CO",2.3,5.4,25.6,66.6,6.6,363
"CT",0.6,3.3,24.2,71.9,5.7,403
"DC",2.1,6,21.1,70.8,6.5,275
"DE",1.6,4.1,22.3,72,7.1,284
"FL",1.7,3.5,30.7,64.1,5.4,488
"GA",4.5,5.2,32.6,57.7,5.7,433
"HI",5,4.4,24.4,66.2,7.1,290
"IA",1.5,4.3,25.4,68.8,5.8,409
"ID",0.6,4.9,30.3,64.1,6.1,350
"IL",0.4,5.9,26.4,67.2,5.6,470
"IN",1.7,4.3,31.2,62.8,6.7,319
"KS",2.6,3.4,27.3,66.7,6,364
"KY",2.7,3,33.8,60.5,6.1,389
"LA",2.7,5.4,25.9,66,6.5,402
"MA",0,1.8,28.8,69.4,5.6,363
"MD",2.2,3.6,27,67.2,5.5,460
"ME",1.7,2.5,24.7,71.1,6,314
"MI",1.2,5.7,30.8,62.3,6.3,365
"MN",1.3,5.7,24.2,68.8,5.9,381
"MO",2.2,3,36.6,58.2,6.2,355
"MS",3.6,4.1,30.1,62.2,6.7,372
"MT",0.8,2.7,31.9,64.6,6.6,292
"NC",1.9,7.2,30.5,60.4,5.7,427
"ND",2.6,2.6,36,58.9,8.6,208
"NE",2.3,4.8,36.1,56.8,6.5,335
"NH",0.8,1.8,26.2,71.2,5.9,314
"NJ",2.3,5.6,26.2,65.8,6.4,388
"NM",2.4,4.9,33.2,59.5,7.7,334
"NV",2.2,6.5,30.6,60.6,6.5,432
"NY",1.5,2.1,21.4,75,5,465
"OH",3.7,4.3,31,61,5.3,476
"OK",3.5,6.8,32.1,57.5,7,379
"OR",3.8,3.5,25.9,66.8,5.9,395
"PA",2.2,4.2,29.8,63.9,5.8,476
"RI",1.6,1.3,25.2,71.9,6.1,318
"SC",1.9,5.2,34.5,58.4,6,418
"SD",4.4,5,26.2,64.3,7.6,255
"TN",4.1,5,27.8,63.1,5.7,464
"TX",1.5,3.9,36.1,58.5,5.8,483
"UT",1.6,2.1,29.4,67,5.8,441
"VA",0.4,3.5,29.3,66.9,5.8,402
"VT",2.3,6.7,21.7,69.3,7.5,202
"WA",1.1,3.5,27.1,68.3,5.4,443
"WI",1.5,2.5,32.1,63.8,5.3,443
"WV",1.6,4.2,36.7,57.5,7,361
"WY",1.2,7.4,30.6,60.8,9.7,157
