How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Banks 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",14.7,28.9,42.4,14,1,18970
"AK",12.7,30.6,49.3,7.4,11,128
"AL",16.2,32.6,37,14.3,6.2,436
"AR",16.9,24.7,46.6,11.8,6.9,384
"AZ",13.3,29.1,41.8,15.8,7.5,332
"CA",15,30.4,42.3,12.4,5.9,547
"CO",17.3,27,41.6,14,6.8,365
"CT",14.8,31.4,42.1,11.7,6.2,402
"DC",13.3,36.2,37.1,13.4,7,272
"DE",13.5,23.8,45.6,17,8,285
"FL",14.6,28.8,41.6,15,5.5,490
"GA",13.3,31.7,40.3,14.6,5.7,432
"HI",13.9,21.8,50.6,13.8,7.5,290
"IA",14.3,28.9,46.5,10.4,6.2,407
"ID",17.7,33.2,36.9,12.2,6.2,349
"IL",9.6,30.1,45.5,14.9,5.9,469
"IN",13.5,25.4,49.5,11.6,6.9,315
"KS",12.1,35.7,36.9,15.3,6.2,363
"KY",16.6,27,42.6,13.7,6.2,388
"LA",15,26.3,41.8,17,6.8,401
"MA",12.9,25.7,44.8,16.6,6.1,361
"MD",12.8,29.5,42.4,15.3,5.8,461
"ME",13,18.5,51.5,17,6.6,314
"MI",14.2,32.7,41.5,11.7,6.4,365
"MN",14.3,30,41.9,13.8,6.3,381
"MO",14.9,26.2,46.4,12.5,6.3,356
"MS",12.1,25.6,47.5,14.8,6.9,374
"MT",16.1,32.1,41.9,9.8,6.8,292
"NC",10.3,29.5,40.9,19.3,5.7,428
"ND",12.3,22.5,48.3,16.9,8.8,208
"NE",17.5,31.2,41.6,9.7,6.5,335
"NH",15.9,26.6,44.4,13.1,6.5,314
"NJ",16.8,27.7,41.6,13.9,6.6,387
"NM",18.8,36.7,38.9,5.7,7.7,334
"NV",21,29.3,35.5,14.2,6.4,430
"NY",13,27.2,37.9,21.8,5.6,463
"OH",14.5,32.2,40.5,12.9,5.3,477
"OK",14.7,29.1,44.3,11.8,7.1,378
"OR",18.8,27.7,39.2,14.3,6.1,396
"PA",13.6,28.4,42.2,15.8,5.9,476
"RI",12.8,27,44.8,15.4,6.7,318
"SC",11.7,27.8,43.9,16.6,6.1,420
"SD",19.3,25.3,44.2,11.3,7.9,255
"TN",16.4,25.4,44.7,13.6,5.9,464
"TX",13.5,30.8,41.1,14.6,5.8,482
"UT",14.8,32.4,44,8.9,6.1,441
"VA",14.8,29.1,40.5,15.5,6.1,400
"VT",15.5,30.1,42.2,12.2,8,201
"WA",16.2,30.6,38,15.2,5.7,443
"WI",14.3,31.1,43.6,11,5.5,444
"WV",16.2,29.9,38.3,15.6,6.9,361
"WY",19.4,32.4,36.3,12,9.6,156
