How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The news media 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",25.7,28,34.6,11.7,0.9,18953
"AK",24.8,32.5,35.6,7.1,10.6,126
"AL",32,27,31.7,9.3,6,434
"AR",38.4,26.6,29.1,5.9,6.7,387
"AZ",28.2,35.7,25.3,10.8,7.3,331
"CA",18.3,26.7,41.4,13.7,5.8,546
"CO",29.3,31.1,32.6,7,6.5,364
"CT",21.3,30.9,36.1,11.7,6.1,398
"DC",11.4,21.3,45.8,21.5,7.2,274
"DE",21.3,33.6,30.6,14.4,7.5,283
"FL",21,29.5,37,12.5,5.4,489
"GA",25,27.2,34,13.8,5.5,431
"HI",21.9,26.1,39.7,12.3,7.3,290
"IA",27,29.2,36.4,7.5,6,406
"ID",34.7,31.2,26.7,7.3,6.1,347
"IL",19.6,21.8,44.8,13.8,5.9,467
"IN",34,19.8,38.4,7.8,6.7,317
"KS",34.7,28.6,28.2,8.4,6.1,363
"KY",31.7,28.6,30.8,9,5.9,386
"LA",27,29.5,32.7,10.8,6.4,401
"MA",17.5,27.1,42,13.3,6.1,360
"MD",17.2,27.6,36.1,19.1,5.6,461
"ME",21.6,37,31.8,9.6,6.4,314
"MI",25.4,31.4,30.4,12.9,6.1,365
"MN",26.5,33.8,30.5,9.2,6,381
"MO",28.9,27,32.5,11.5,5.9,355
"MS",25.4,24.7,40.3,9.6,6.8,373
"MT",39.3,29.9,24,6.8,6.7,291
"NC",24.9,27.4,34.3,13.4,5.5,428
"ND",25.6,36.1,31.8,6.5,8.4,208
"NE",31,36.1,26.5,6.4,6.3,335
"NH",25.4,25.5,37.3,11.9,6.3,315
"NJ",27.9,27.9,32.6,11.6,6.3,388
"NM",26.4,29.1,34.4,10.2,7.5,334
"NV",30.8,25.1,35.1,9,6.4,431
"NY",19.2,23.2,35.7,21.8,5.5,463
"OH",29,26,34,11,5.2,476
"OK",30.3,31.8,27.2,10.7,6.6,376
"OR",34.2,25.4,31.9,8.4,6,394
"PA",29.3,26.3,29.1,15.3,5.5,478
"RI",16.6,31.8,38.2,13.5,6.5,319
"SC",27.3,30.6,31.3,10.8,5.7,418
"SD",49.2,22.4,24.8,3.6,7.9,254
"TN",31.9,24.2,32.5,11.5,5.5,463
"TX",23.8,23.2,40.2,12.7,5.8,483
"UT",33.6,35,27,4.4,5.8,441
"VA",23.9,25.4,37,13.8,6,400
"VT",25.8,34.1,34,6.2,7.7,201
"WA",23.3,28.3,34.9,13.4,5.6,445
"WI",24.9,31.6,36.2,7.2,5.3,444
"WV",30.3,34.4,28.7,6.7,6.7,362
"WY",47.5,26.5,19.4,6.7,9.9,157
