How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Social media companies 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",32.2,35.4,25.1,7.3,0.9,18878
"AK",31.5,40.2,23.3,5,10.8,128
"AL",34.9,34,21.8,9.3,6.1,431
"AR",38.4,41.1,16.2,4.3,6.8,387
"AZ",36.3,31,22.4,10.3,7.4,326
"CA",24.9,37.2,31.4,6.4,5.8,543
"CO",41.6,34.3,19.5,4.7,6.8,365
"CT",26.5,40.4,28.7,4.4,6.2,401
"DC",14.1,31.4,36.6,17.8,6.9,272
"DE",28.4,36.1,26.1,9.4,7.7,278
"FL",23.5,37.7,29.9,8.8,5.4,490
"GA",29.2,33.8,27.3,9.8,5.5,429
"HI",31.3,30.8,32.2,5.7,7,291
"IA",33.9,34.7,28.2,3.2,6,403
"ID",42.9,38,14.6,4.5,6.4,345
"IL",25.9,35.5,31.8,6.8,5.7,466
"IN",37.7,37,18.9,6.5,6.7,316
"KS",37.4,36.9,18.2,7.5,6.2,362
"KY",34.8,33.8,26.1,5.3,6,387
"LA",29.6,38.8,24,7.5,6.7,399
"MA",28.8,34.5,26.8,10,5.8,360
"MD",27,29.7,31,12.2,5.4,458
"ME",32.8,40.7,19.4,7.1,6.5,313
"MI",31.7,43.4,17.3,7.7,6.5,362
"MN",37,37.2,18.1,7.7,6.1,381
"MO",35.7,33.6,24.3,6.4,6.1,352
"MS",28,36.9,28.9,6.2,6.7,374
"MT",46.8,35,15.4,2.8,6.9,289
"NC",32.1,37.2,22.2,8.5,5.6,423
"ND",39.8,34.9,22.1,3.1,8.6,207
"NE",34.1,41.9,21.4,2.6,6.5,333
"NH",38.9,33,22.3,5.8,6.4,314
"NJ",36.8,31.9,24.6,6.7,6.5,385
"NM",32.8,37.1,23.6,6.6,7.6,331
"NV",32,41.1,23.4,3.5,6.6,426
"NY",27.1,31.1,27.1,14.7,5.3,461
"OH",35.2,35.8,22.8,6.3,5.2,475
"OK",33.3,35.8,23.7,7.2,6.8,376
"OR",35.8,35.4,24.8,4,6,394
"PA",35.6,33.6,22.1,8.6,5.8,477
"RI",30,40.1,20.1,9.8,6.6,316
"SC",32.2,38.9,21.2,7.8,6,419
"SD",52.1,31.1,13.4,3.5,7.9,256
"TN",36.9,30.6,25.9,6.5,5.7,462
"TX",31.8,32,28,8.2,5.6,480
"UT",39.7,36.2,20.4,3.7,6,437
"VA",30,38.7,22.3,9.1,6.1,399
"VT",37.3,35.1,24.6,3,8,197
"WA",26.2,39.1,26.1,8.6,5.7,444
"WI",32.9,38.5,24.1,4.5,5.4,441
"WV",38.8,35.1,22.9,3.2,6.9,360
"WY",47.7,28.4,21.8,2.1,9.9,157
