How soon would you be likely to leave your home and go to... - A retail store 
"","I have already done it this month					","I would do that immediately					","I would wait one to two weeks					","I would wait two weeks to a month					","I would wait more than one month					","I would try to avoid these businesses as long as possible					","Depends","Error Margin","N"
"National",57.7,6.2,5.8,4.5,4.5,14.1,7.1,1,18991
"AK",67,5,5,3.3,3.7,6.2,9.8,10.3,128
"AL",58.6,4.5,3.4,4.5,6.1,13.6,9.3,6.3,435
"AR",63.8,7.4,5.3,3,4,7.9,8.6,6.6,387
"AZ",55.2,10.2,3.9,4.5,3.6,15,7.7,7.6,331
"CA",49.7,3.8,7.7,5.6,5,17.9,10.3,6,542
"CO",56.4,9.8,3.7,4.9,5,13.4,6.8,6.9,364
"CT",59.3,5.8,5.6,5.2,5.3,15.1,3.7,6.2,405
"DC",46.8,8,8.4,8,6.1,15,7.7,7.1,276
"DE",67.2,6.3,7.6,2.9,5.5,8.7,1.8,7.5,284
"FL",56.1,4.7,5.3,4.3,6.2,16,7.5,5.6,487
"GA",49.2,3.5,6.8,4.8,6.3,19.7,9.8,5.8,434
"HI",61.1,3.7,7.3,3.6,0.6,12.4,11.3,7.3,291
"IA",64.7,5.2,4.3,4.3,2.6,12.1,6.8,5.9,411
"ID",69.3,4.8,4,2.3,4.8,9.4,5.4,5.9,350
"IL",54.6,6.5,7.2,4.5,5.4,13.5,8.3,6,466
"IN",67.1,5.3,4,1.6,4.3,11.9,5.8,6.5,319
"KS",61.5,8.7,3.5,5.5,2.5,15.1,3.2,6.2,362
"KY",57,6.7,5.6,3.8,3.4,15.9,7.6,6.2,389
"LA",52.1,9.9,4.2,6.2,3.9,16.6,7.2,6.9,402
"MA",56.8,5.6,6.8,4.9,5.5,13,7.6,6.1,361
"MD",48.4,6.8,6.7,8.5,5.4,15.4,8.8,5.8,461
"ME",65.1,5.9,3.4,5.5,4.4,9.3,6.4,6.3,314
"MI",56.5,7.8,5.8,4.8,3.2,14.5,7.3,6.5,365
"MN",63.5,7.3,5.3,2.6,6.2,9.8,5.3,6.1,380
"MO",68.7,5.1,6.9,2.8,3.6,7.7,5.2,5.8,357
"MS",62,2.5,5.1,4.1,2.9,13.7,9.6,6.7,374
"MT",65.4,10.2,4.5,1.6,0.8,10.8,6.8,6.5,292
"NC",58.2,4.6,3.6,4.4,4.8,18,6.3,5.7,429
"ND",68.1,5.6,3.3,1.4,4,7.8,9.7,8.2,205
"NE",66,5.1,5.5,3.2,2.6,10.6,7,6.2,335
"NH",70.8,4.9,4,3.7,1.6,12.6,2.5,5.9,315
"NJ",52.9,8.1,5.7,4.4,4.2,14.4,10.3,6.7,389
"NM",54.9,5.5,5,5.9,4,13.6,11.2,7.8,334
"NV",56.4,6.6,5.8,3.1,10,10.2,7.8,6.6,433
"NY",50.9,5.7,8.3,7.4,4.3,17.4,5.9,5.7,465
"OH",63.3,6.7,5.3,2.1,3.6,12.2,6.7,5.3,476
"OK",63,7,5.5,2.7,2.8,14.1,5,6.8,379
"OR",58.6,7.2,4.7,4,3,14.8,7.8,6.2,395
"PA",57.6,9.5,5.6,4.7,5.8,10.4,6.5,5.9,477
"RI",62.8,6.7,4.9,3.5,3.6,13.1,5.4,6.5,320
"SC",58.7,6,4.1,4.3,5.2,14.4,7.3,6,421
"SD",73.3,6,2.1,2,1.5,9.4,5.8,7,256
"TN",60.9,8.6,6.9,3.7,2.4,10.8,6.7,5.7,468
"TX",48.5,5.9,7.5,5.1,3.9,20.4,8.7,5.9,482
"UT",62.8,6.3,3.9,2.9,5.2,12.6,6.3,5.9,439
"VA",56.3,5.2,8.1,3.8,4.7,15,6.9,6.2,399
"VT",64.9,7.1,4.2,3.5,6.6,10.9,2.8,7.8,202
"WA",50.2,9.4,8.1,4.2,5.6,14.5,7.9,5.8,444
"WI",64.8,4.5,3.9,5.9,5.2,12,3.7,5.3,444
"WV",71,2.8,3,2.7,2.2,12.2,6.1,6.4,360
"WY",69.8,8.1,1.8,5.3,0.4,8.4,6.3,9.1,157
