How soon would you be likely to leave your home and go to... - A dine-in restaurant 
"","I have already done it this month					","I would do that immediately					","I would wait one to two weeks					","I would wait two weeks to a month					","I would wait more than one month					","I would try to avoid these businesses as long as possible					","Depends","Error Margin","N"
"National",24.9,6.6,5.7,6.1,10.4,36.7,9.7,0.9,18987
"AK",37.7,4.7,2.7,4.2,10.8,31.9,8,10.7,128
"AL",28.1,4.2,6.6,7.5,9.6,34.6,9.4,6.1,436
"AR",34,5.8,4.3,3,9.8,29.9,13.2,6.5,385
"AZ",19.4,5.4,7.1,9,12.2,39,8.1,7.5,330
"CA",17.9,8.5,4.5,4.7,13.2,41.6,9.6,5.9,544
"CO",32.6,4.5,6.8,5.3,11.1,33.5,6.1,6.6,364
"CT",18.7,5.1,5.8,6,14.7,41.2,8.4,6.2,405
"DC",12.2,11.9,8.7,5,11.2,41.5,9.4,7.1,275
"DE",27.9,4.7,5.1,8.3,10.7,34.2,9.2,7.6,284
"FL",23.9,7,7.9,6.7,9.9,37.4,7.2,5.4,488
"GA",20.7,9.9,4.9,6.5,9.4,38.5,10.2,5.6,436
"HI",24.8,6.2,6.7,4.6,8.6,42.9,6.3,7.4,291
"IA",36.1,5.3,5.1,4.9,8.9,30.8,8.9,6,409
"ID",32.8,6.1,5.6,6.1,4.9,31.3,13.2,6,349
"IL",17.8,5.4,10,7.9,13.1,36,9.8,5.7,468
"IN",30.3,11.6,7.8,3,10.5,29.3,7.5,6.3,318
"KS",31.9,7.5,7.1,3.9,8.4,31.6,9.7,6,363
"KY",22.7,8.4,4.5,4.2,10,41.2,9,6.2,389
"LA",25.8,4.5,4.8,5.1,11.2,39.4,9.3,6.7,402
"MA",25.9,6,5.8,5.8,12.5,35.6,8.4,5.9,362
"MD",16.3,6.5,5.1,8.2,12.6,44.3,7,5.8,461
"ME",20.4,7.9,4.7,5.3,13.8,39.9,7.9,6.5,314
"MI",27,7.5,5.1,7.3,8.2,36.4,8.5,6.3,366
"MN",29.8,5.7,3.5,4.4,13.9,34,8.8,6,380
"MO",35.5,6,7.2,7.2,7.3,30.7,6.2,6,354
"MS",24.8,5.9,4.9,4.2,9.3,36.6,14.2,6.7,373
"MT",33.4,8.7,3.9,6.4,7.5,29,11.1,6.5,292
"NC",23.1,5.9,4.9,6.3,8.7,42.2,8.9,5.7,429
"ND",41.3,4.7,2.4,5.8,8.2,28.1,9.5,8.6,208
"NE",35.4,6.9,7,5.6,7.8,28.2,9.1,6.3,335
"NH",27.5,5,3.7,6.8,11.2,39.4,6.4,6.4,313
"NJ",6.8,10.6,5,6.1,14.3,45.2,12,6.7,388
"NM",23,5.8,3.2,8.1,14.8,31.4,13.6,7.3,334
"NV",36.8,5.8,6.1,5.4,9.3,26.8,9.9,6.5,432
"NY",14.8,6.9,6.6,9.5,11.9,37.8,12.5,5.6,462
"OH",26.5,8.2,4.9,5.4,9.8,35.1,10,5.2,476
"OK",24.9,2.7,6.8,5.1,6.5,39.5,14.4,6.9,380
"OR",26.4,8.8,4,4.3,10.5,34.9,11,6,395
"PA",20.4,8.7,8.7,7,8.9,37.4,9,5.8,475
"RI",21.7,6.6,7,5.2,9.8,36.7,13,6.5,320
"SC",28.2,5.1,2.2,7.1,10.7,38.2,8.6,5.9,420
"SD",43.5,11.5,7.5,4.1,5.6,16,11.7,7.9,255
"TN",34.3,7.5,6.2,4.8,8.8,29.1,9.3,5.6,467
"TX",23.5,6,6.5,8.3,11.9,34.9,8.8,5.6,483
"UT",29.8,7.6,4.4,5.7,10.8,33.1,8.5,5.8,440
"VA",22.4,5.8,5.9,6.3,12.1,36.9,10.5,6,401
"VT",20.9,9.9,3.2,8.7,11.7,32.9,12.7,7.6,202
"WA",15.6,9.4,7.5,11.4,11.6,35.1,9.4,5.6,443
"WI",26,8.1,5.4,5.4,8.1,38,9.1,5.3,444
"WV",28.1,8.3,4,6.4,8.3,35.3,9.6,6.8,362
"WY",41.1,8.8,4.2,5.7,4.1,22,14.2,9.8,157
