How concerned, if at all, do you currently feel about the following: - Losing your job due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",14.2,14.7,16.6,24.7,29.8,0.8,21111
"AK",18.9,9.4,12.9,37,21.8,12.9,123
"AL",13.5,15.5,11.2,28.8,31,5,517
"AR",13.3,13.6,13.2,27,33,6,388
"AZ",11.3,15.1,15.7,24.1,33.9,5.6,463
"CA",12.5,11.3,21,28.9,26.2,4,805
"CO",16.3,17.7,16.9,24.6,24.4,4.7,472
"CT",20.4,14.7,15,23.4,26.4,5.1,411
"DC",10.3,15.6,19.5,28.8,25.8,8.3,232
"DE",17.3,14.4,13.2,23,32.1,7.4,279
"FL",12.2,11.1,18,27.2,31.4,4.4,578
"GA",14.8,13.8,15,27.6,28.7,4.4,596
"HI",10.2,8.4,16.4,33.6,31.4,8,257
"IA",18.5,23.6,13.9,15,29,6.8,250
"ID",15.3,9.1,21.7,19.4,34.6,7.6,266
"IL",16.6,11.6,18,27.7,26.1,4.3,505
"IN",18.8,14.4,15.9,22.5,28.5,4.9,464
"KS",16.6,20.4,17.9,24,21.1,5,436
"KY",15.3,16.6,13.9,22.9,31.2,4.9,508
"LA",13.4,11.8,15.4,29.3,30,5.9,440
"MA",15.9,15.6,18.1,24.6,25.9,4.3,600
"MD",13.2,19.6,17.4,23.2,26.6,4.4,537
"ME",16.7,16.2,17.6,12.9,36.6,6.7,286
"MI",16.2,15.1,16.7,19.1,33,4.8,581
"MN",16.6,20.7,16.8,18.3,27.6,4.7,528
"MO",17.2,15.9,18.1,16.4,32.6,5,507
"MS",11.4,14.9,12,30.1,31.6,6.9,397
"MT",21.2,17.8,10,19.9,31.1,7.8,210
"NC",15.5,15.9,15.3,20.2,33.1,4.5,518
"ND",26.2,13.8,19.1,18.2,22.6,8,185
"NE",17.8,19.7,15.7,21.2,25.6,6.4,304
"NH",15.1,21.9,14.2,22.9,25.9,7.3,200
"NJ",9.9,16.9,17.9,29.2,26.1,4.5,514
"NM",14.4,14.8,13.5,24,33.3,7.5,310
"NV",9.8,9.7,18.3,33.5,28.7,5.9,434
"NY",15.5,13.6,16.8,27.6,26.5,4.4,614
"OH",16.5,14.2,16.5,19.7,33.1,4.5,514
"OK",15,13.5,13,30.6,27.9,5.4,485
"OR",16.2,12,16,22,33.8,5.3,470
"PA",16.7,21.5,15.7,19.8,26.3,4.5,512
"RI",13.3,13.1,13.4,22.4,37.9,8.1,255
"SC",12.2,10.7,15.8,24.3,37,5.7,452
"SD",15.4,14.9,16.3,20.6,32.8,9.5,183
"TN",16.8,12.2,19.3,21.2,30.5,4.6,499
"TX",11.8,14.3,16,27.7,30.2,4.2,638
"UT",20.5,19.5,14.2,20.4,25.4,6.6,270
"VA",16.6,17,15.6,26.5,24.4,4.3,542
"VT",12.1,15.5,15.7,15.1,41.6,10.7,131
"WA",12.8,16.9,20.1,23.1,27.1,4.7,485
"WI",17.2,16.7,19,17.9,29.2,4.9,450
"WV",9.4,11.7,10.2,27.1,41.6,7.1,369
"WY",17.6,12.1,13.7,19.5,37.1,11,141
