How much, if at all, has your life been disrupted by the coronavirus (COVID-19) outbreak? 
"","Not at all","A little","A moderate amount","A lot","A great deal","Error Margin","N"
"National",4.4,16.3,31.1,22.4,25.8,0.8,21175
"AK",2.9,16.1,34.9,18.8,27.3,12.7,123
"AL",4.7,16.5,28,21.8,29,5,518
"AR",3.3,17.4,33.1,17.9,28.2,6,388
"AZ",5.3,17.7,29.5,24.6,22.8,5.4,464
"CA",3.4,12.6,31.3,23,29.7,4.1,807
"CO",4.5,16.3,30.1,20.4,28.8,5,475
"CT",0.9,16.1,30.9,25.9,26.1,5.3,414
"DC",1.9,9.4,32.9,21.3,34.5,8.6,235
"DE",1.7,21.5,33.4,20,23.4,7.5,279
"FL",4.9,16.1,27.8,24,27.1,4.3,580
"GA",7.4,16.7,30.3,20.6,25,4.5,602
"HI",2.7,11.9,31.1,24.5,29.9,7.9,257
"IA",2.1,27.5,28.5,18.4,23.4,6.7,251
"ID",4.8,20.8,32.7,24.5,17.2,7.5,267
"IL",4.4,15.8,33.5,19.7,26.6,4.5,508
"IN",5.7,20.9,33.9,18.6,20.9,5.1,463
"KS",5.8,19.3,29.6,20.5,24.8,5.3,436
"KY",4.7,19.7,37.8,16.9,20.9,5.1,512
"LA",10.2,10.7,28.8,16.6,33.8,6.1,441
"MA",4.4,14.5,30.4,27,23.7,4.5,601
"MD",1.9,13.6,34.5,24.6,25.4,4.7,538
"ME",4.4,18.1,39.9,19.6,17.9,6.8,286
"MI",5,15.3,36.5,23.7,19.5,4.9,581
"MN",4.4,16.7,32.4,21.5,25,5,528
"MO",4.9,17.1,34.2,21.2,22.7,5.1,508
"MS",8.7,15,29.8,18.2,28.4,6.8,401
"MT",5.6,17.1,37.1,14.9,25.2,8.1,210
"NC",2.5,19.4,32.6,23.3,22.2,4.5,520
"ND",5.4,20.4,37.1,20.3,16.9,8.8,185
"NE",5.7,23.3,32.9,15.7,22.4,6.8,305
"NH",0.8,17.7,38.4,20.2,22.9,8.1,202
"NJ",4,11.2,30.3,27.8,26.7,4.6,514
"NM",4.3,13.1,29.9,21.2,31.5,7.3,313
"NV",3.3,13.7,26.7,27.9,28.4,5.6,437
"NY",2.8,15.1,32,23,27.1,4.6,618
"OH",4.7,17.7,30.6,24.2,22.8,4.4,518
"OK",5.4,15.4,30.1,22.2,26.9,5.4,486
"OR",4,15.4,28.7,26.5,25.4,5.1,470
"PA",9.1,19.2,27.2,25.2,19.3,4.5,512
"RI",4.1,18.5,32.2,16.9,28.2,7.8,255
"SC",6.2,21.9,28.8,22.5,20.6,5.4,452
"SD",3.2,23.1,22.2,22.9,28.5,9.1,184
"TN",5.2,19.8,35.4,17.3,22.2,4.8,499
"TX",5.1,16.2,31.6,21.9,25.2,4.3,639
"UT",2.6,15.7,33.9,22.5,25.4,7.2,271
"VA",3.7,17.6,26.3,22,30.4,4.5,541
"VT",3.1,15.8,34.9,21.2,25,10.3,131
"WA",2.5,15.2,30,26,26.4,4.8,487
"WI",3.7,20.4,32.5,23.7,19.7,5,450
"WV",7.2,10.4,28.6,21.2,32.5,6.7,371
"WY",4.2,26,24.6,27,18.2,10.1,142
