When should the country fully reopen the economy and resume business activity? 
"","Immediately","In the next two weeks","After two to four weeks","After four to six weeks","After six to eight weeks","After more than eight weeks","Error Margin","N"
"National",16.9,4.2,6,9.2,11.2,52.5,0.9,21031
"AK",17.8,3.5,9.7,9.5,15.5,44,13.2,123
"AL",24.1,4,6,7.9,9.2,48.7,5.5,512
"AR",24.4,4.5,5.8,8.7,9.8,46.8,6.4,386
"AZ",16,3,7.8,11.2,13.4,48.6,6,458
"CA",14.1,3.8,4.9,7.2,11.5,58.5,4.4,798
"CO",21.5,4.5,6.3,11.7,10.4,45.6,5.5,472
"CT",10.3,4.9,6.9,8.5,11.6,57.7,5.7,406
"DC",11,5.3,3,6,12.1,62.7,8.8,234
"DE",10.8,2.3,5.6,8.9,11.9,60.4,7.8,277
"FL",12.7,5,7.2,10.6,9.5,55,4.8,576
"GA",18.4,3.1,6.7,7.3,10.8,53.6,4.9,596
"HI",11.8,1.3,4.9,11.7,10.3,60,8.4,256
"IA",22.8,4.5,8.4,7.8,8.1,48.3,7.5,250
"ID",30.5,5.2,5.9,10.7,8.6,39.1,7.8,265
"IL",17.1,4.1,3.8,10.7,8.7,55.7,4.8,505
"IN",21.5,4.2,7.4,9.2,11.4,46.3,5.4,460
"KS",21.1,5.1,5.8,10.3,17.1,40.6,5.8,435
"KY",16.9,5.4,6.1,9.8,15.6,46.3,5.3,509
"LA",18,3.4,3.6,8,12.5,54.5,6.5,437
"MA",9.1,2.6,5.3,7.2,11,64.9,4.6,599
"MD",10.3,3.3,3.3,8.1,8.5,66.5,4.7,537
"ME",18.9,3.2,9.4,9.3,12.7,46.5,7,284
"MI",17.9,5,4.8,8.1,13.7,50.5,5.1,577
"MN",18.7,3.9,4.3,9.4,10.1,53.6,5.3,524
"MO",24.1,5,4.8,7.7,13.1,45.3,5.3,508
"MS",16,6.8,7.2,9,7.7,53.4,7.4,395
"MT",23.6,1.1,6.1,8.5,11.4,49.3,8.4,209
"NC",16,2.8,5.4,9,9.2,57.7,4.7,518
"ND",22.1,7.3,4.9,10.8,13.5,41.3,8.9,185
"NE",25,4.7,6.8,10.6,11.3,41.7,7.2,303
"NH",12.8,8.2,6,7.9,10.5,54.7,8.4,199
"NJ",12.7,4.3,7.7,8.5,9.8,57.1,4.9,504
"NM",21.2,1.7,4.4,11.3,9.1,52.3,7.9,312
"NV",22,3.7,5.9,8,11.2,49.2,6.3,434
"NY",12.8,5.3,5.7,7.8,14.8,53.7,4.9,613
"OH",19.2,3.5,6.4,9.4,12.3,49.1,4.8,513
"OK",18.3,4.7,5.3,9.5,14.3,47.9,5.9,484
"OR",19.8,5.3,6.1,5.2,12,51.7,5.6,471
"PA",19.9,5.8,6.5,9,9.8,49,5.1,512
"RI",13.6,0.8,5,16.3,7.9,56.4,8.3,254
"SC",16.3,4.5,3.2,11.7,12.7,51.5,5.9,448
"SD",34.8,1.2,3.7,5.2,14.5,40.6,9.9,183
"TN",20.9,2.8,6.5,11.7,10.5,47.7,5,498
"TX",13.6,3.7,7,8.4,9.9,57.3,4.6,634
"UT",25.5,7.1,6,11.9,7.6,41.8,7.5,267
"VA",15.3,3.1,4,9.9,10.7,56.9,4.8,539
"VT",17,3.7,3.7,12.5,9,54.1,10.8,129
"WA",16.2,3.2,4.5,8.9,11.7,55.4,5.2,487
"WI",16,5.9,8.5,8.1,12.8,48.7,5.4,447
"WV",19.4,2.7,5.9,9,10.1,52.9,7.2,367
"WY",26.6,6.3,13.3,10.1,7.1,36.6,10.9,142
