Do you approve or disapprove of the way your state governor is handling the coronavirus (COVID-19) outbreak? 
"","Strongly disapprove","Dispprove","Neither approve nor disapprove","Approve","Strongly approve","Error Margin","N"
"National",13.4,15.5,22.7,32.2,16.2,0.8,20938
"AK",6.5,17.5,33.7,30,12.3,12.6,123
"AL",11.5,19.3,24.8,31,13.4,5,519
"AR",12.8,17.1,27.3,30.4,12.4,5.9,388
"AZ",19.5,28.6,21.8,21.7,8.4,5.3,464
"CA",14.3,13.7,24.6,34.6,12.8,4.2,808
"CO",14.3,12.7,21.3,35.2,16.4,5.2,476
"CT",5,8.8,21.5,40.3,24.4,5.6,414
"DE",9.3,8.8,21.6,48.5,11.9,8,278
"FL",29.4,19.5,21.9,16.3,12.9,4.4,580
"GA",26.9,17,19.9,20.2,16,4.3,602
"HI",24.4,27.9,17.1,25.1,5.5,7.6,256
"IA",27,25.3,22.2,16.1,9.4,6.6,251
"ID",6.7,22.9,36.4,26.2,7.8,7.6,267
"IL",15.6,13.8,14.1,36.1,20.5,4.6,506
"IN",7.5,14.4,30.9,33.9,13.2,5.1,464
"KS",12.7,13.3,27.8,32.5,13.8,5.5,435
"KY",8.2,14.5,19.9,35.9,21.6,5.1,511
"LA",10.2,12.2,25.1,36.9,15.6,6.2,441
"MA",4,7.3,20.7,40.4,27.6,4.8,603
"MD",4.8,7.8,16.7,43.5,27.1,4.9,538
"ME",11.2,14,20.5,35,19.2,6.6,287
"MI",14.5,11.1,10.7,32.9,30.8,4.8,580
"MN",10.9,18.5,20.1,33.6,16.9,5,526
"MO",17.2,19.2,24.6,28.1,10.9,4.8,508
"MS",20.3,19.9,26.2,28.9,4.6,6.7,401
"MT",10.6,17,23.3,34.9,14.2,8,210
"NC",13.4,15.7,19.1,34.9,16.8,4.5,521
"ND",4.2,13.6,29.5,37.4,15.2,8.8,185
"NE",16.4,17.7,25.5,31.8,8.5,6.8,305
"NH",2.9,9.4,24.7,49,14.1,8.3,202
"NJ",10.3,11.8,18.2,40.7,18.9,4.9,514
"NM",15.2,13.4,18.6,28.6,24.2,7.1,313
"NV",19.1,14,25.6,29.4,11.9,5.7,437
"NY",8.1,10.7,20.2,35.5,25.4,4.7,618
"OH",10,10.1,21.5,37.8,20.7,4.6,518
"OK",16.6,22.1,26.6,24.6,10.1,5.2,486
"OR",19.1,16.1,26.1,30.8,7.9,5.2,472
"PA",14.3,17.3,20.8,33.5,14.1,4.8,512
"RI",5.9,7.8,26.3,35.5,24.5,8,255
"SC",18.5,23.8,21.3,24.1,12.3,5.1,451
"SD",19.6,14.6,18.2,17.2,30.3,9.3,184
"TN",12.2,16.8,31.2,29.7,10,4.7,499
"TX",20,19.8,25.3,24.4,10.5,4,637
"UT",15.4,19.1,21.8,34.8,9,7.2,270
"VA",15.4,15.7,23.3,32.5,13.1,4.6,543
"VT",2.1,6.8,15.3,42.6,33.2,10.7,131
"WA",12.1,14.1,23.6,33.2,16.9,4.9,487
"WI",13.4,17.3,26.4,34.9,8,5.1,449
"WV",3.6,15.5,25.4,38.3,17.2,7,371
"WY",9.3,22.7,19.8,32.5,15.6,10.6,142
