Household income range 
"","NA","Under 15K","15K to under 25K","25K to under 35K","35K to under 50K","50K to under 75K","75K to under 100K","100K to under 150K","150K to under 200K","Over 200K","Error Margin","N"
"National",1.7,12.4,12.5,12.4,13.7,18.3,11.2,10.8,3.9,3.1,0.7,21196
"AK",0,20.2,13.8,13.7,14.7,24.7,3.3,8.3,0.8,0.6,11.5,123
"AL",2,14.3,13.2,20.3,16.5,14,7.3,8.5,1.7,2,4.4,519
"AR",4,12.9,17.2,16.2,15.9,17.3,8,6.7,1.3,0.5,4.9,388
"AZ",1.4,10.6,11.2,9.7,15.1,22.5,12.3,11.9,3,2.3,4.9,464
"CA",1.8,11.8,10.9,9.9,11.4,19.2,13.5,12.8,3.9,4.6,3.5,808
"CO",3.1,9.5,10.4,11.9,13,18.9,12.4,11.7,5.4,3.7,4.3,476
"CT",1.3,9.9,11,8.8,10.4,19.3,12.2,15.2,7.6,4.3,4.5,414
"DC",1.3,18.6,7.8,10.3,9.4,8.5,6.3,14,14.3,9.4,7.1,236
"DE",0.6,14.8,9.6,8.9,13.4,15.4,16,12.8,5,3.4,5.8,279
"FL",1.8,12.3,13.7,12.4,15.2,19.7,9.9,7.9,4.6,2.5,3.8,580
"GA",0.9,12.9,12.8,13.7,13.1,20.1,9.3,10.2,3.5,3.4,3.9,602
"HI",0,12.3,8.2,10.3,9.8,28.6,10.7,11.6,5.9,2.7,7.7,257
"IA",2.5,7.9,11.9,12.6,10.5,23.6,14.6,11.4,3.8,1.1,6.3,252
"ID",1.6,13.4,11.7,15.7,12.7,18.7,11.5,11.4,0.4,3,6.2,267
"IL",0.3,12.8,10.8,10.9,11.1,21.1,12.9,12.5,3.7,3.9,3.9,508
"IN",3.9,13,14.5,14.1,13.5,17.5,12.2,7.5,2.6,1.3,4.1,464
"KS",0.7,16.4,11.5,11.5,13.8,15.1,14,12.9,1.9,2.3,4.3,436
"KY",1.7,14.9,18.9,18.3,13.2,16.1,6.1,8.3,1.7,0.8,4.1,512
"LA",6,17.1,13.5,15,13.4,14.2,10.9,7,1.8,1.1,4.9,442
"MA",1.6,7.6,11,9.9,11,19.3,14.1,14.8,4.9,5.7,3.8,603
"MD",1.1,12.2,8,8,13.1,18.1,13,14.1,6.7,5.7,3.8,538
"ME",0.2,10.7,11.5,18.4,15.9,17.6,11.1,8.9,2.7,2.9,5.4,287
"MI",1.1,11.3,10.6,13.5,17.4,18.1,12.3,9.6,3.4,2.7,3.9,581
"MN",0.9,10.8,8.9,11.3,12.9,17.6,14.5,14.1,5.2,3.6,4,528
"MO",2.6,11.2,15.7,13.8,11.6,21.6,9,9.7,1.8,2.9,4.4,509
"MS",2.7,18.2,15.2,17.7,13.9,13.3,5.9,10.6,1.5,0.9,5.7,401
"MT",0.6,12.1,12.9,16.1,14.1,17.7,7.4,10.6,6.7,1.8,6.4,210
"NC",0.7,12.4,14,8.2,13.2,22.1,12.4,9.9,2.9,4.2,4,521
"ND",1.8,11.8,13.3,12.7,14.9,15.2,12.5,13.1,3.6,1.1,6.5,185
"NE",1.4,11.9,10.7,13.8,13.5,22.7,12.3,10.1,1.3,2.2,6.1,306
"NH",0,10,5.2,12.9,18.3,18.7,12.7,17,2,3.2,6.5,202
"NJ",1.6,7.4,8.6,7.9,13.3,17.6,16.3,15.4,5.3,6.7,3.8,515
"NM",0.5,18.8,13.2,15.1,11.3,15,16,4.2,3,2.9,6.2,313
"NV",1.7,8.1,14.4,13.5,16.2,21.5,11.7,8.6,2.7,1.8,5.1,437
"NY",1.9,12.9,9.8,12.9,10.2,16.8,11.3,13.2,6.6,4.4,3.7,618
"OH",3.5,10.5,13.8,11.5,13,21.3,11.9,10.6,1.8,2.1,3.9,518
"OK",1.4,14.3,18.3,12.5,14.2,17.6,5.5,13.1,1.7,1.3,4.5,486
"OR",1.4,15.3,9.2,11.3,17,18.3,10.4,10.1,4.2,2.9,4.3,472
"PA",2.8,7.7,13.2,13,13,20,11.8,11,4.5,2.9,4.1,512
"RI",0.4,10,19.4,17.2,12.6,13.1,12.6,10.1,2.6,2,6.6,255
"SC",3.2,12.9,14.1,11.7,13.3,19.3,11.3,11,2.6,0.6,4.7,452
"SD",0,12.5,18.8,8.8,14.1,19.5,10.6,8.9,2.4,4.3,8,184
"TN",2.4,10.9,14.1,15,14.6,19.5,9.1,9.5,2.5,2.4,4,499
"TX",1.3,16.1,13.3,10.1,15.5,17.7,9.6,9.9,3.6,2.9,3.5,639
"UT",2.1,13.8,13.2,7.9,12.8,20.2,14.2,13.1,2.2,0.6,6.1,271
"VA",1.7,9.1,10.7,8.8,13,19.5,13,13.2,5.2,5.8,3.9,543
"VT",0,14.8,10.2,14.8,15.8,17.6,10.7,10,5.1,1,8.2,131
"WA",1.6,10.7,8,11.3,15.4,20.8,8.2,16.3,4.4,3.4,4.2,489
"WI",1,10.9,13.9,12.1,16.7,18.2,12.8,9.3,3,2.1,4.1,450
"WV",0.6,18.9,14.2,12.6,17.6,15.4,10.7,6.7,1.7,1.5,5.6,372
"WY",0,9.1,13.5,8,27.9,21.8,9.7,6.5,1.4,2.1,10.2,142
