How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Scientists and researchers 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",3.1,8.2,37.6,51.1,0.9,21128
"AK",2,5,37.2,55.8,13.2,123
"AL",4.1,14.2,41,40.7,5.4,517
"AR",5.6,7.6,45,41.8,6.4,388
"AZ",1.8,7.5,41.1,49.6,5.9,463
"CA",1.8,8.1,40.5,49.6,4.4,803
"CO",3.8,9.6,33.7,52.9,5.5,472
"CT",2.5,5.9,34.9,56.7,5.7,413
"DC",3.2,7,32.8,57,9,233
"DE",2,6.6,41,50.3,8,279
"FL",3.5,7.6,34.9,54.1,4.8,578
"GA",3.1,7.6,39.9,49.4,4.9,602
"HI",5.4,7.9,38,48.8,8.5,257
"IA",2.3,12.3,35.3,50.1,7.5,251
"ID",2.6,9.1,44.9,43.4,7.9,267
"IL",3.1,9,32.4,55.5,4.8,506
"IN",4.5,10.4,34.8,50.3,5.4,463
"KS",2.8,8.6,40.5,48.1,5.8,436
"KY",3,9.2,40.9,46.9,5.3,508
"LA",3.8,10.9,38.7,46.6,6.5,439
"MA",3.3,2.6,34.6,59.6,4.8,601
"MD",1.6,6.2,31.8,60.4,4.9,537
"ME",2.1,4.5,37.2,56.2,6.9,286
"MI",4.1,7.3,36.5,52.1,5.1,581
"MN",1.7,7.4,35,55.9,5.3,527
"MO",3.5,11.2,40.1,45.2,5.3,507
"MS",7.9,9.1,45.9,37.1,7.4,399
"MT",2.9,9.4,37.6,50.1,8.4,210
"NC",3,7,40.3,49.7,4.8,521
"ND",3.3,9.1,38.1,49.5,9.1,185
"NE",4.2,10.7,36.1,49,7.3,304
"NH",2.4,11.2,29.9,56.5,8.3,200
"NJ",2,7.1,39.4,51.5,4.9,515
"NM",3.1,9.7,36.2,51,7.9,313
"NV",3.5,6.4,37.7,52.4,6.3,437
"NY",3.6,6.2,38.8,51.4,4.9,613
"OH",3.8,6.6,38.5,51.2,4.8,517
"OK",4.2,14.5,37.6,43.7,5.8,485
"OR",3.1,9.1,36.7,51.1,5.6,472
"PA",4.2,8.5,40.7,46.7,5.1,512
"RI",0.8,3.9,35.2,60.1,8.2,255
"SC",3.5,5,41.5,50,5.9,452
"SD",6.1,8.1,43.3,42.5,10,184
"TN",4.8,10.5,43,41.7,5,497
"TX",3.8,6.8,38.2,51.3,4.6,633
"UT",4,9.2,34.5,52.3,7.6,271
"VA",3.2,8.2,39.1,49.5,4.9,538
"VT",0,9.8,31.9,58.3,10.7,130
"WA",1.7,6.6,37.6,54.1,5.2,485
"WI",3.6,8,42.2,46.2,5.4,450
"WV",2.8,13.2,40.3,43.7,7.1,371
"WY",8.2,21.6,35.3,34.9,10.8,142
