Political affiliation 
"","NA","Strong Republican","Republican","Leaning Republican","Independent","Leaning Democrat","Democrat","Strong Democrat","Error Margin","N"
"National",0.5,17.8,11.8,6.5,20.6,8.2,14.4,20.2,0.7,21196
"AK",0.2,6.9,18,4,45.5,9.4,9.1,7,13.3,123
"AL",0.2,30.4,11.4,7.4,20.6,5.2,8.2,16.7,5,519
"AR",0.5,20.7,12.1,9.7,25.8,6.3,9.6,15.4,5.6,388
"AZ",1.4,16.4,13.3,5.3,20.9,8.1,15.9,18.6,4.8,464
"CA",0.4,13.2,12.1,4.5,18.7,7.3,19.2,24.6,3.8,808
"CO",0.4,21.2,12.3,6.1,19.8,14.1,9.2,16.8,4.5,476
"CT",0,11.2,10.4,9.3,22.7,9.1,15.1,22.1,4.8,414
"DC",0.4,14,3.3,1.2,11.8,5.8,25.7,37.8,8.8,236
"DE",0.1,15.3,14.9,4.4,18.5,4.4,16.9,25.5,6.9,279
"FL",0,15.9,10.2,6.3,19.5,7.2,19,21.9,4,580
"GA",0,20.5,9.6,5.4,18.1,6.3,13.1,27.1,4.3,602
"HI",1.4,7.9,7.4,5.7,37.1,5,23.8,11.7,8.2,257
"IA",0.3,13.3,12.2,12.3,21.3,9.3,11,20.3,6.1,252
"ID",0.2,23.7,11.6,14.4,24.1,8.4,9.7,7.8,6.8,267
"IL",0.6,16.1,8.4,6,18.2,5.4,17.8,27.6,4.3,508
"IN",0.9,16.5,13.6,6.9,25.5,5.3,13.8,17.5,4.7,464
"KS",0.1,23.4,12.6,8.6,23.7,5.5,14.5,11.7,5,436
"KY",0.2,22.5,15.9,6.4,19.2,7.4,12.1,16.3,4.4,512
"LA",1,19.8,12.5,9.1,20.3,6.2,10,21.1,5.3,442
"MA",0.9,10,6.6,6.4,23.9,14.1,15.2,23,4.1,603
"MD",0.4,14.7,8.9,5.3,13,8.5,15.9,33.4,4.7,538
"ME",0.6,24.7,11.6,7.7,20.2,9.3,5.9,19.8,6,287
"MI",0.7,18.6,10.9,6.1,18.9,7.7,13.5,23.7,4.3,581
"MN",0.4,15.3,16.7,5.9,19.5,7.8,14.7,19.7,4.2,528
"MO",0.2,23.9,15.6,8.8,14.7,7,14.1,15.7,4.6,509
"MS",0,25.2,9.8,8.7,21.4,3.1,9.4,22.5,6.4,401
"MT",0.4,17.4,11.3,11.5,24.5,6.8,13.2,14.9,7.2,210
"NC",0.4,19.9,12,7.7,18.9,8.2,12.4,20.4,3.8,521
"ND",0,14.5,22.7,5.7,24.3,11.1,11,10.8,7.8,185
"NE",0.3,28.1,9.2,8.3,21.9,9.3,11.8,11.1,6.5,306
"NH",0.3,13.8,6.7,11.9,21.5,19.8,7.3,18.6,6.8,202
"NJ",1.3,15.1,11.1,5.6,16.8,9.4,18.3,22.5,4.1,515
"NM",0,10.9,9.9,9.5,22.7,6.1,20.4,20.5,6.6,313
"NV",0,13.7,10.8,7.4,29.7,8.4,10.9,19.2,5.7,437
"NY",0.5,16.5,9.6,3.9,20.3,7.3,17.9,24,4.2,618
"OH",0.3,18.4,12.3,7.1,19.9,7.2,12.6,22.2,4,518
"OK",0.2,26.2,12.9,2.8,28.3,6.1,10.8,12.7,5.3,486
"OR",1.6,17.6,11.3,4.9,21.6,10.4,14.2,18.4,4.6,472
"PA",0.6,21.2,15.2,4.9,19.3,4.2,14.9,19.7,4.1,512
"RI",0,11,5.9,5.5,30.4,12.4,15.4,19.3,7.7,255
"SC",0.3,27.1,10.6,6.9,20.3,7.8,10.5,16.3,5.3,452
"SD",0.7,16.4,13.5,10.3,21.2,9.6,16.1,12.1,8.2,184
"TN",0.7,26.9,13.3,7.1,17.8,8.9,9.1,16.1,4.5,499
"TX",0.4,17.1,11.2,6.3,18.7,8.9,16.7,20.7,3.7,639
"UT",0.1,20.4,17.5,8.9,25.1,9,10.2,8.8,6.6,271
"VA",1.2,15.7,11.1,7,18.6,8.3,18.2,19.9,3.9,543
"VT",0,11.5,17.9,9.2,26.2,13.3,8.5,13.4,9.5,131
"WA",0.2,14.1,8.9,7.1,24.9,8.9,15.2,20.7,4.5,489
"WI",0.3,15,11.8,8.5,20.3,11.3,13.7,19.1,4.3,450
"WV",0.7,26,11.7,10.4,22.5,5.7,9.7,13.2,6.3,372
"WY",0.4,25.3,13.2,17.4,23.1,8.2,6.5,5.9,9.8,142
