How soon would you be likely to leave your home and go to... - A large sport or entertainment event 
"","I have already done it this month					","I would do that immediately					","I would wait one to two weeks					","I would wait two weeks to a month					","I would wait more than one month					","I would try to avoid these businesses as long as possible					","Depends","Error Margin","N"
"National",2.9,8.1,3.2,3.9,9.2,58.1,14.6,0.9,21152
"AK",1.4,11.9,2.5,3.9,10.8,56.9,12.6,13.2,123
"AL",3.3,10.8,3.5,4.5,10.3,51,16.5,5.4,518
"AR",4.8,8.7,3,4.9,8.6,55.2,14.7,6.4,387
"AZ",4,8.3,3.9,3.5,10.7,57.2,12.4,5.9,462
"CA",3.1,7.1,2.8,2.8,9.8,62.7,11.7,4.3,807
"CO",1.4,13,3.2,3.1,8.8,54.4,16.2,5.4,475
"CT",2.5,3.1,2,3.3,11.2,67.2,10.6,5.4,413
"DC",5.5,6.6,6.3,1.8,7.9,64.3,7.6,8.7,234
"DE",2.5,5.2,2.6,4,9.7,62.3,13.8,7.7,279
"FL",2.5,7.1,2.6,5.4,7.5,63.2,11.7,4.6,580
"GA",3,7.2,1.3,4.8,9.7,59.5,14.3,4.8,599
"HI",0.2,3.1,2.4,0.9,7.8,75.4,10.2,7.3,257
"IA",5.8,7.8,2.5,6.5,4.5,54.6,18.2,7.4,252
"ID",3.8,15.5,3.5,2.9,7.1,51.3,15.8,7.9,267
"IL",3.9,6.2,4,3,8.8,58.5,15.6,4.7,507
"IN",1.8,11.7,4.8,3.5,9.2,50.4,18.8,5.4,460
"KS",2.6,9.7,3.5,4.3,8.8,57.1,14,5.8,435
"KY",2.2,8.8,3.2,5.3,7.1,53,20.4,5.3,511
"LA",5.7,7.7,1.8,4.8,8.6,54.5,16.9,6.4,442
"MA",1.6,6.4,2.5,1.7,8.9,68.4,10.4,4.5,602
"MD",2.9,4.7,2.1,2.6,7.8,67.7,12.2,4.6,538
"ME",4,10.3,2,2,7.6,60,14.1,6.8,286
"MI",2.1,8.4,2.8,4.2,6.6,62.2,13.6,4.9,581
"MN",3,8.8,1.6,3.8,10.4,58.2,14.2,5.2,528
"MO",3.4,11,3,4,13.1,50.3,15.3,5.3,508
"MS",1.5,8.8,4.2,1.5,7,56.5,20.5,7.3,398
"MT",4,11.7,2.4,3.5,7.7,51.1,19.6,8.4,210
"NC",1.7,7.4,2.9,3.6,10.1,60.6,13.6,4.7,519
"ND",3,9.9,2,5.9,8.5,56.1,14.5,9,185
"NE",2.9,16.1,5.7,5.1,10.6,42.7,16.8,7.2,306
"NH",1.6,10.6,1.9,4.8,8.1,60.6,12.4,8.2,201
"NJ",2.1,7.6,3.6,4.5,8.6,62.4,11.2,4.8,515
"NM",1.4,5.8,5.2,2.9,7.7,57.5,19.5,7.8,313
"NV",1.3,7.1,3.5,4.8,12.3,56.9,14.1,6.2,434
"NY",3.5,6.2,3.9,4.3,11.8,57.1,13.3,4.8,617
"OH",1.8,10.2,1.6,4.1,10.9,56.3,15.1,4.8,517
"OK",3.5,9.3,3.9,4.7,9.3,56.2,13,5.8,484
"OR",1.4,13.8,3,3.5,4.6,59.6,14.2,5.5,472
"PA",3.4,8.9,3.1,2.7,9.2,55,17.6,5,512
"RI",1.1,6.7,1.9,5.5,8.7,58.3,17.8,8.2,255
"SC",3.1,6.8,3.8,2.8,12.2,57.1,14.2,5.9,451
"SD",3.6,10.6,5.1,6.7,4,48.6,21.2,10.1,184
"TN",3,10.3,4.7,2.7,9.6,53.1,16.5,5,498
"TX",2.8,6.6,2.4,5.5,10.1,58.1,14.5,4.6,638
"UT",6.2,12,4,2,8.6,45.4,21.8,7.6,271
"VA",2.5,8.2,3.4,3.7,12.2,53.1,16.8,4.9,540
"VT",3.1,10,2.1,1.7,8.7,53.4,21,10.8,131
"WA",1.7,7.6,3.1,5.3,10.8,56.6,14.9,5.2,488
"WI",2.5,10,2.7,3.5,9.2,59.6,12.5,5.3,449
"WV",1.9,11.3,1.7,4.2,6.6,53.4,20.9,7.2,372
"WY",8.2,11.8,0.6,2.4,7.5,41.4,28,11.2,141
