Please rate on the feeling thermometer the following groups and countries. - Younger Americans 
 (age 18-29) 
"","Younger Americans 
 (age 18-29)","Baby boomers
(age 56 to 76)","China","Mexico","Canada","Russia","People who wear face masks","People who do not wear face masks","Protesters","Error Margin","N"
"AK",62.1,67.1,36.5,44.8,69.5,25.3,78.6,27,37.5,13.7,10
"AL",63.6,69.5,28.7,50.8,64.4,27.2,80.6,32,42.1,4.7,59
"AR",61.7,71.9,36.5,50.5,69.3,43.6,80.8,30.5,37.6,8,35
"AZ",59.9,68.6,39.9,63.5,72.5,38.8,86,24.8,43.6,5.2,60
"CA",63.3,66.5,48.8,61.5,73,43.7,84.4,23,49.8,4.4,99
"CO",62.4,68.1,34.5,58.6,77.5,38.8,79.5,27.9,44.2,5.1,52
"CT",65,69.9,43.5,54,74,45.1,87.3,17.8,48,8.8,33
"DC",73.5,70.4,65.4,77,83.2,54.6,87.4,24.9,72.4,8.7,25
"DE",62.9,71.8,32.3,60.1,72.2,39.5,85.6,20.2,45.1,6.3,36
"FL",64.7,71.4,43.7,60,73.3,40.9,84.7,24.3,46,5.4,61
"GA",67.6,70.6,34.4,54.1,72.9,41,81.5,32,49.3,5.5,71
"HI",55.9,67.7,35.1,55,70.8,32.9,86.5,17.4,39.7,9.6,20
"IA",64,70.3,39.6,57,70.2,39.9,78.6,33.5,40.9,7.4,20
"ID",61.3,70.4,47.1,62.3,77.7,42.8,75.1,38.2,34.7,8.9,28
"IL",63.5,70.8,42.8,69.2,77,38,84.2,25.5,46.1,4.9,53
"IN",62.1,70.7,38.1,58,76.6,47.2,80.9,31.2,41.8,6,43
"KS",63.1,67.6,23.6,50.6,70,27.2,77.9,35,39.1,5.9,54
"KY",63.4,72,35.1,54.2,70.4,44.4,82.2,31.6,37.9,4.5,53
"LA",61.3,70.4,37.1,55,69,41.9,80.3,28.3,42.6,6.5,63
"MA",66.8,68.4,42,52.3,80.9,36.7,87.2,18.9,51.8,4.7,66
"MD",69.6,73.2,40.5,61.8,78.5,36.5,88.1,21.6,56.2,5.4,65
"ME",64.6,70.5,38.1,56.2,80.3,33.8,81.8,34,39.7,5.8,26
"MI",62.2,71.7,34.3,59.6,81.5,36.7,84.3,26.6,45.7,5,48
"MN",62.7,69.6,46.3,65.9,81.9,39,82.6,29.2,43.3,4.6,62
"MO",62.4,70.7,30.5,58.2,66.6,38,80.5,32.5,38.9,6,60
"MS",66.6,73,47.9,50.5,73,32.8,83.3,32.8,45.9,8.6,40
"MT",61.9,69.5,43.6,60.3,74.4,31.9,82.9,32,38.9,9.4,21
"NC",62,71.9,34.2,47.7,67.6,32.1,83.5,28.3,42.9,3.6,65
"ND",58.9,64.1,44.9,51,63.7,49.4,74.8,37.6,37,10.1,21
"NE",59.4,70.1,39,63.2,77.9,37.7,79.2,36,37.2,5.4,34
"NH",62.7,67.8,27.1,54.9,68.9,32.7,82.7,29.3,44.2,8.3,23
"NJ",62.8,69.9,38.7,62.4,75,38,85.8,21.4,51,3.8,65
"NM",62.5,69.9,40.9,60.4,67.7,38.1,84.7,24.2,42,8.5,22
"NV",61.8,64.5,37.9,55.8,75.5,41.9,83.3,26.6,44.3,6.7,47
"NY",64.8,67.8,43.3,59.6,71.4,48,85,23.8,50.8,4.3,76
"OH",63.5,72.1,32.5,47.7,75.6,28.9,81.6,32.1,43.7,4.6,58
"OK",61.8,69.9,38,64.7,74,48.6,78.8,32.8,40.2,8,40
"OR",64.1,68.1,42.6,62.7,77.8,44.1,83.1,25.4,42.3,4.6,54
"PA",58.7,65.6,29.7,48.3,61,30.4,80.4,27.1,42.6,4.9,50
"RI",62.7,70.7,49.3,62.5,84.2,42.4,88.5,20,49,8.1,27
"SC",64.5,71.1,42,57.1,62.9,37.9,83.4,29.4,41.5,5.5,49
"SD",65.2,69.2,38.5,63.6,80.2,33.8,73.8,40.6,31.2,9.3,26
"TN",61.7,71.7,34.6,54.3,73.3,32.1,80.5,32.5,38.7,4.5,49
"TX",62.2,67.7,38.5,57.7,73.8,33.4,82.9,23.7,46.3,4.1,73
"UT",63.2,66.2,45.5,60.9,85.6,45.7,78.8,33.8,39,9.1,23
"VA",64.5,67.5,39.5,58,76.5,42.2,84.5,24.9,48.3,5.2,65
"VT",65.2,69.9,36.4,51.2,82,39.4,83.2,29.3,43.6,8.8,20
"WA",64.4,67.9,48.7,70.7,81,44.8,83.4,26.1,46.8,5,38
"WI",62.1,68.4,41.2,57.6,71.6,35.3,81.1,32.4,40.5,4.7,52
"WV",59.5,72.7,34.1,51.2,74.1,36,80.2,33.8,34.2,7,37
"WY",55.5,72.3,19.8,69.2,84.7,27.8,72.3,42.6,24.8,8.6,16
